Product Name,29113425
Station Name,EOL
Serial Number,!203100093!_V29113441
DateTime,20210307_190041
Total Test Time,282.000000
Result,Pass
TestItem,MeasureValue,Unit,LowLimit,HiLimit,Result,CycleTime
Sheung_shui,,,,,Passed,0.745
Switch ON CAN_12,,,,,Passed,0.144
Switch On CAN_34,,,,,Passed,0.134
Voltage=12.5V,,,,,Passed,0.143
Current=5A,,,,,Passed,0.164
12V_DC_Source,,,,,Passed,0.101
Wait,,,,,Passed,1.025
Switch ON Current measure,,,,,Passed,0.131
Switch OFF 12V_9,,,,,Passed,0.132
Switch On 12V_9,,,,,Passed,0.133
Wait,,,,,Passed,0.517
Switch OFF Current measure,,,,,Passed,0.139
Wait,,,,,Passed,0.516
Wake up,,,,,Passed,1.053
Wait,,,,,Passed,0.532
Switch OFF CAN_34,,,,,Passed,0.143
Wait,,,,,Passed,5.017
Standby Power Current Measure,0.743,,0.6,0.9,Passed,0.162
Connect DUT,,,,,Passed,4.633
Wait,,,,,Passed,0.516
Read MAIN_MSGu8InverterHVILStatus,0,,0,0,Passed,0.026
Switch On 14,,,,,Passed,0.148
Wait,,,,,Passed,0.522
Switch OFF CAN_43,,,,,Passed,0.141
Switch On 12V_10,,,,,Passed,0.138
Switch On 12V_20,,,,,Passed,0.143
EnvironmentPath,,,,,Passed,0.992
Write MAIN_VSIBenchOnDataTreatmentC=1 ,,,,,Passed,0.164
FPGA version,0d180a03,,0d180a03,,Passed,0.032
MCU version,0405,,0405,,Passed,0.037
Read FSSMACS_AclState,50,,30,50,Passed,0.026
Read FTSMACS_AclState,3,,3,3,Passed,0.027
Read SASMACS_AclState,2,,2,2,Passed,0.026
Read HV_FS_FaultLevel_U16,0,,0,2,Passed,0.026
Read FTEAEXC_UResExcAvg,0.985,,0.95,1.2,Passed,0.026
Set MAIN_VSIRxaFaultBOverVoltVBat=0,,,,,Passed,0.025
Read MAIN_VSIRxsGridVoltW,3.000,,2,4,Passed,0.031
Wait,,,,,Passed,0.517
Set LV Voltage=10V,,,,,Passed,0.145
Wait,,,,,Passed,0.516
Read_FS_UbatLV_U16,1159,,900,1300,Passed,0.048
Set_LV_Voltage=12V,,,,,Passed,0.157
