Product Name,All
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,V29103084201119045V
Total Test Time,1055
DUTResult,Passed
Date Time,20210305170019
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
HC_PowerSetOutPutOff,,,,,Skipped,1.17E-05
Message Popup,,,,,Skipped,1.69E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,0.0005869
Pre Action,,,,,Passed,19.2329758
Statement,,,,,Done,0.0001374
7.4.1 Power Test U Current OP4(0),421.179682703675,A,400,500,Passed,1.5814366
7.4.2 Power Test V Current OP4(0),423.229965534319,A,400,500,Passed,0.1729461
7.4.3 Power Test W Current OP4(0),425.072134717661,A,400,500,Passed,0.1740228
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),44,deg,20,99,Passed,0.0005335
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),73,deg,20,99,Passed,0.0003722
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),47,deg,20,99,Passed,0.0003199
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),50,deg,20,99,Passed,0.0003556
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.000596
7.4.9 Power Test FSEVBHV_Voltage OP4(0),395,V,360,410,Passed,0.0007267
7.4.10 Power Test FTEABHV_UbatHV OP4(0),394,V,360,410,Passed,0.0003679
7.4.11 Power Test SAEABHV_Voltage OP4(0),395,V,360,410,Passed,0.0008178
7.8.1 Power Test U Current OP8(0),420.927444634681,A,400,500,Passed,0.1768924
7.8.2 Power Test V Current OP8(0),422.79062092199,A,400,500,Passed,0.172354
7.8.3 Power Test W Current OP8(0),423.706672436517,A,400,500,Passed,0.1727964
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),45,deg,20,99,Passed,0.0003672
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),73,deg,20,99,Passed,0.0003708
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),48,deg,20,99,Passed,0.0003294
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),52,deg,20,99,Passed,0.000381
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0003294
7.8.9 Power Test FSEVBHV_Voltage OP8(0),391,V,360,410,Passed,0.0003909
7.8.10 Power Test FTEABHV_UbatHV OP8(0),389,V,360,410,Passed,0.0003916
7.8.11 Power Test SAEABHV_Voltage OP8(0),391,V,360,410,Passed,0.0003916
7.4.1 Power Test U Current OP4(1),421.0131575344,A,400,500,Passed,0.172949
7.4.2 Power Test V Current OP4(1),423.075748996699,A,400,500,Passed,0.1934452
7.4.3 Power Test W Current OP4(1),424.947525794219,A,400,500,Passed,0.1908404
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),45,deg,20,99,Passed,0.0001939
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),73,deg,20,99,Passed,0.0001674
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),49,deg,20,99,Passed,0.0002066
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),53,deg,20,99,Passed,0.0001797
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001847
7.4.9 Power Test FSEVBHV_Voltage OP4(1),396,V,360,410,Passed,0.0002037
7.4.10 Power Test FTEABHV_UbatHV OP4(1),393,V,360,410,Passed,0.0008206
