Product Name,All
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,V29103084201201059
Total Test Time,1053
DUTResult,Passed
Date Time,20210306151253
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,6.21E-05
End,,,,,Done,1.84E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,6.6E-05
7.4.1 Power Test U Current OP4(0),420.931407485424,A,400,500,Passed,0.2027858
7.4.2 Power Test V Current OP4(0),420.424412132635,A,400,500,Passed,0.2060199
7.4.3 Power Test W Current OP4(0),421.767250041854,A,400,500,Passed,0.1708706
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),21,deg,20,99,Passed,0.0001967
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),72,deg,20,99,Passed,0.0004456
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),22,deg,20,99,Passed,0.0001571
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),36,deg,20,99,Passed,0.0001709
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001638
7.4.9 Power Test FSEVBHV_Voltage OP4(0),394,V,360,410,Passed,0.000178
7.4.10 Power Test FTEABHV_UbatHV OP4(0),391,V,360,410,Passed,0.0002076
7.4.11 Power Test SAEABHV_Voltage OP4(0),394,V,360,410,Passed,0.000476
7.8.1 Power Test U Current OP8(0),419.265174889393,A,400,500,Passed,0.2070457
7.8.2 Power Test V Current OP8(0),419.506610710535,A,400,500,Passed,0.1836438
7.8.3 Power Test W Current OP8(0),424.123965964874,A,400,500,Passed,0.1869315
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),22,deg,20,99,Passed,0.000178
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),73,deg,20,99,Passed,0.0001896
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),23,deg,20,99,Passed,0.000184
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),42,deg,20,99,Passed,0.0001645
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0004216
7.8.9 Power Test FSEVBHV_Voltage OP8(0),392,V,360,410,Passed,0.0002373
7.8.10 Power Test FTEABHV_UbatHV OP8(0),395,V,360,410,Passed,0.0002048
7.8.11 Power Test SAEABHV_Voltage OP8(0),392,V,360,410,Passed,0.0005328
7.4.1 Power Test U Current OP4(1),421.030368102316,A,400,500,Passed,0.2033561
7.4.2 Power Test V Current OP4(1),419.868956804613,A,400,500,Passed,0.2092229
7.4.3 Power Test W Current OP4(1),421.110199250458,A,400,500,Passed,0.1707269
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),23,deg,20,99,Passed,0.0001879
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),73,deg,20,99,Passed,0.0001882
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),24,deg,20,99,Passed,0.0002108
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),45,deg,20,99,Passed,0.0001794
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001815
7.4.9 Power Test FSEVBHV_Voltage OP4(1),389,V,360,410,Passed,0.0001794
7.4.10 Power Test FTEABHV_UbatHV OP4(1),390,V,360,410,Passed,0.0001995
7.4.11 Power Test SAEABHV_Voltage OP4(1),389,V,360,410,Passed,0.0001808
7.8.1 Power Test U Current OP8(1),420.005032318535,A,400,500,Passed,0.2033272
7.8.2 Power Test V Current OP8(1),421.438563094619,A,400,500,Passed,0.2019582
7.8.3 Power Test W Current OP8(1),421.471131668009,A,400,500,Passed,0.1719871
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),24,deg,20,99,Passed,0.0002405
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),74,deg,20,99,Passed,0.0001614
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),26,deg,20,99,Passed,0.0002147
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),47,deg,20,99,Passed,0.0001931
7.8.8 Power Test FSEVBLV_Voltage OP8(1),15,V,14,17,Passed,0.0002119
7.8.9 Power Test FSEVBHV_Voltage OP8(1),388,V,360,410,Passed,0.0002041
7.8.10 Power Test FTEABHV_UbatHV OP8(1),384,V,360,410,Passed,0.0002376
7.8.11 Power Test SAEABHV_Voltage OP8(1),388,V,360,410,Passed,0.0001854
7.4.1 Power Test U Current OP4(2),420.490181386494,A,400,500,Passed,0.2040076
7.4.2 Power Test V Current OP4(2),420.115470221223,A,400,500,Passed,0.1969755
7.4.3 Power Test W Current OP4(2),423.126093788924,A,400,500,Passed,0.1828401
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(2),25,deg,20,99,Passed,0.0004721
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(2),74,deg,20,99,Passed,0.0001716
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(2),28,deg,20,99,Passed,0.0001882
7.4.7 Power Test AN_CTP_COOLING_F OP4(2),48,deg,20,99,Passed,0.0001949
7.4.8 Power Test FSEVBLV_Voltage OP4(2),9,V,9,12,Passed,0.0001946
7.4.9 Power Test FSEVBHV_Voltage OP4(2),395,V,360,410,Passed,0.0002207
7.4.10 Power Test FTEABHV_UbatHV OP4(2),390,V,360,410,Passed,0.0001794
7.4.11 Power Test SAEABHV_Voltage OP4(2),395,V,360,410,Passed,0.0001939
7.8.1 Power Test U Current OP8(2),419.788565370498,A,400,500,Passed,0.2042865
7.8.2 Power Test V Current OP8(2),418.568429235888,A,400,500,Passed,0.1973565
7.8.3 Power Test W Current OP8(2),420.407589933858,A,400,500,Passed,0.1712308
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(2),26,deg,20,99,Passed,0.0001871
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(2),74,deg,20,99,Passed,0.0002108
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(2),30,deg,20,99,Passed,0.0001667
7.8.7 Power Test AN_CTP_COOLING_F OP8(2),49,deg,20,99,Passed,0.0001928
7.8.8 Power Test FSEVBLV_Voltage OP8(2),15,V,14,17,Passed,0.0001808
7.8.9 Power Test FSEVBHV_Voltage OP8(2),389,V,360,410,Passed,0.0001931
7.8.10 Power Test FTEABHV_UbatHV OP8(2),388,V,360,410,Passed,0.0001896
7.8.11 Power Test SAEABHV_Voltage OP8(2),389,V,360,410,Passed,0.0001928
7.4.1 Power Test U Current OP4(3),420.946545420698,A,400,500,Passed,0.2167476
7.4.2 Power Test V Current OP4(3),420.737562621389,A,400,500,Passed,0.2013738
7.4.3 Power Test W Current OP4(3),425.223755792249,A,400,500,Passed,0.2102801
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(3),28,deg,20,99,Passed,0.0002373
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(3),74,deg,20,99,Passed,0.00044
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(3),32,deg,20,99,Passed,0.0002214
7.4.7 Power Test AN_CTP_COOLING_F OP4(3),50,deg,20,99,Passed,0.0001818
7.4.8 Power Test FSEVBLV_Voltage OP4(3),9,V,9,12,Passed,0.0003128
7.4.9 Power Test FSEVBHV_Voltage OP4(3),393,V,360,410,Passed,0.0001956
7.4.10 Power Test FTEABHV_UbatHV OP4(3),391,V,360,410,Passed,0.000953
7.4.11 Power Test SAEABHV_Voltage OP4(3),393,V,360,410,Passed,0.0001931
7.8.1 Power Test U Current OP8(3),419.379504426036,A,400,500,Passed,0.2030673
7.8.2 Power Test V Current OP8(3),418.079120416803,A,400,500,Passed,0.2087967
7.8.3 Power Test W Current OP8(3),421.328527899781,A,400,500,Passed,0.1700585
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(3),29,deg,20,99,Passed,0.0001942
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(3),75,deg,20,99,Passed,0.0001871
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(3),34,deg,20,99,Passed,0.0001705
7.8.7 Power Test AN_CTP_COOLING_F OP8(3),51,deg,20,99,Passed,0.0001582
7.8.8 Power Test FSEVBLV_Voltage OP8(3),15,V,14,17,Passed,0.000172
7.8.9 Power Test FSEVBHV_Voltage OP8(3),396,V,360,410,Passed,0.0002412
7.8.10 Power Test FTEABHV_UbatHV OP8(3),394,V,360,410,Passed,0.0001956
7.8.11 Power Test SAEABHV_Voltage OP8(3),396,V,360,410,Passed,0.0002556
7.4.1 Power Test U Current OP4(4),420.487103558012,A,400,500,Passed,0.2041015
7.4.2 Power Test V Current OP4(4),420.990189228253,A,400,500,Passed,0.2084433
7.4.3 Power Test W Current OP4(4),421.569217923735,A,400,500,Passed,0.1712851
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(4),30,deg,20,99,Passed,0.000173
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(4),75,deg,20,99,Passed,0.00019
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(4),36,deg,20,99,Passed,0.0002037
