Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210310093!V29102835!210390167!V29102835
Total Test Time,528
DUTResult,Terminated
Date Time,20210311173217
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,3.04E-05
End,,,,,Done,2.22E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,4.98E-05
7.4.1 Power Test U Current OP4(0),422.904499387627,A,400,500,Passed,0.1991283
7.4.2 Power Test V Current OP4(0),422.821990778673,A,400,500,Passed,0.1710191
7.4.3 Power Test W Current OP4(0),426.104970406314,A,400,500,Passed,0.1709732
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),41,deg,20,99,Passed,0.0001914
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),72,deg,20,99,Passed,0.000178
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),43,deg,20,99,Passed,0.0001734
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),47,deg,20,99,Passed,0.0001578
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001769
7.4.9 Power Test FSEVBHV_Voltage OP4(0),378,V,360,410,Passed,0.0001999
7.4.10 Power Test FTEABHV_UbatHV OP4(0),386,V,360,410,Passed,0.0002278
7.4.11 Power Test SAEABHV_Voltage OP4(0),378,V,360,410,Passed,0.0006426
7.8.1 Power Test U Current OP8(0),426.109136590251,A,400,500,Passed,0.2031692
7.8.2 Power Test V Current OP8(0),417.911135622831,A,400,500,Passed,0.1761977
7.8.3 Power Test W Current OP8(0),426.570199415473,A,400,500,Passed,0.177031
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),42,deg,20,99,Passed,0.0001847
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),73,deg,20,99,Passed,0.000179
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),44,deg,20,99,Passed,0.0001903
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),50,deg,20,99,Passed,0.0001882
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0002073
7.8.9 Power Test FSEVBHV_Voltage OP8(0),380,V,360,410,Passed,0.0001995
7.8.10 Power Test FTEABHV_UbatHV OP8(0),389,V,360,410,Passed,0.0002069
7.8.11 Power Test SAEABHV_Voltage OP8(0),380,V,360,410,Passed,0.0004202
7.4.1 Power Test U Current OP4(1),424.106821428792,A,400,500,Passed,0.1803167
