Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,
Total Test Time,1055
DUTResult,Passed
Date Time,20210311174119
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,2.9E-05
End,,,,,Done,2.54E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,4.84E-05
7.4.1 Power Test U Current OP4(0),416.754432241181,A,400,500,Passed,0.1829681
7.4.2 Power Test V Current OP4(0),419.904834928163,A,400,500,Passed,0.1740865
7.4.3 Power Test W Current OP4(0),422.0192348162,A,400,500,Passed,0.1739979
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),21,deg,20,99,Passed,0.0002133
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),72,deg,20,99,Passed,0.0001734
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),22,deg,20,99,Passed,0.0002684
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),34,deg,20,99,Passed,0.0002278
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001829
7.4.9 Power Test FSEVBHV_Voltage OP4(0),378,V,360,410,Passed,0.0004735
7.4.10 Power Test FTEABHV_UbatHV OP4(0),387,V,360,410,Passed,0.0005996
7.4.11 Power Test SAEABHV_Voltage OP4(0),378,V,360,410,Passed,0.0005131
7.8.1 Power Test U Current OP8(0),417.97605692887,A,400,500,Passed,0.1819508
7.8.2 Power Test V Current OP8(0),416.2599207889,A,400,500,Passed,0.177417
7.8.3 Power Test W Current OP8(0),420.769480925081,A,400,500,Passed,0.1776896
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),22,deg,20,99,Passed,0.0001833
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),72,deg,20,99,Passed,0.0002087
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),23,deg,20,99,Passed,0.0001769
