Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210480018!V29102835
Total Test Time,756
DUTResult,Terminated
Date Time,20210312191550
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,4.63E-05
End,,,,,Done,1.94E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,0.0001328
7.4.1 Power Test U Current OP4(0),416.831079459959,A,400,500,Passed,0.1960367
7.4.2 Power Test V Current OP4(0),419.845748758827,A,400,500,Passed,0.1993449
7.4.3 Power Test W Current OP4(0),421.330628060225,A,400,500,Passed,0.196483
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),24,deg,20,99,Passed,0.0001663
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),68,deg,20,99,Passed,0.0001751
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),25,deg,20,99,Passed,0.0001896
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),32,deg,20,99,Passed,0.0029647
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0006864
7.4.9 Power Test FSEVBHV_Voltage OP4(0),376,V,360,410,Passed,0.0005244
7.4.10 Power Test FTEABHV_UbatHV OP4(0),385,V,360,410,Passed,0.0002157
7.4.11 Power Test SAEABHV_Voltage OP4(0),376,V,360,410,Passed,0.0003171
7.8.1 Power Test U Current OP8(0),415.117501821321,A,400,500,Passed,0.199126
7.8.2 Power Test V Current OP8(0),419.710880332308,A,400,500,Passed,0.2016588
7.8.3 Power Test W Current OP8(0),421.567453171928,A,400,500,Passed,0.3759387
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),25,deg,20,99,Passed,0.0001921
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),70,deg,20,99,Passed,0.0001624
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),26,deg,20,99,Passed,0.0002592
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),40,deg,20,99,Passed,0.0001663
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0003153
7.8.9 Power Test FSEVBHV_Voltage OP8(0),377,V,360,410,Passed,0.0004043
7.8.10 Power Test FTEABHV_UbatHV OP8(0),386,V,360,410,Passed,0.000441
7.8.11 Power Test SAEABHV_Voltage OP8(0),377,V,360,410,Passed,0.0004855
7.4.1 Power Test U Current OP4(1),415.424284409931,A,400,500,Passed,0.1954308
7.4.2 Power Test V Current OP4(1),419.85945443786,A,400,500,Passed,0.1954347
7.4.3 Power Test W Current OP4(1),421.956247325894,A,400,500,Passed,0.1977429
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),26,deg,20,99,Passed,0.0001879
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),70,deg,20,99,Passed,0.000202
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),27,deg,20,99,Passed,0.0001907
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),43,deg,20,99,Passed,0.0010251
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001942
7.4.9 Power Test FSEVBHV_Voltage OP4(1),383,V,360,410,Passed,0.0001889
7.4.10 Power Test FTEABHV_UbatHV OP4(1),393,V,360,410,Passed,0.000232
7.4.11 Power Test SAEABHV_Voltage OP4(1),383,V,360,410,Passed,0.0002422
7.8.1 Power Test U Current OP8(1),415.858794451892,A,400,500,Passed,0.1963831
7.8.2 Power Test V Current OP8(1),420.455298560586,A,400,500,Passed,0.1952076
7.8.3 Power Test W Current OP8(1),420.831616544287,A,400,500,Passed,0.1970812
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),27,deg,20,99,Passed,0.0001691
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),71,deg,20,99,Passed,0.0001642
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),29,deg,20,99,Passed,0.0005039
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),45,deg,20,99,Passed,0.0002737
7.8.8 Power Test FSEVBLV_Voltage OP8(1),15,V,14,17,Passed,0.0003778
7.8.9 Power Test FSEVBHV_Voltage OP8(1),382,V,360,410,Passed,0.0005219
7.8.10 Power Test FTEABHV_UbatHV OP8(1),391,V,360,410,Passed,0.0001988
7.8.11 Power Test SAEABHV_Voltage OP8(1),382,V,360,410,Passed,0.0003806
7.4.1 Power Test U Current OP4(2),414.578341594268,A,400,500,Passed,0.2235477
7.4.2 Power Test V Current OP4(2),420.811399103837,A,400,500,Passed,0.1989325
7.4.3 Power Test W Current OP4(2),420.264393470306,A,400,500,Passed,0.2160301
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(2),28,deg,20,99,Passed,0.0001751
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(2),71,deg,20,99,Passed,0.0001751
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(2),30,deg,20,99,Passed,0.0002458
7.4.7 Power Test AN_CTP_COOLING_F OP4(2),47,deg,20,99,Passed,0.0003128
7.4.8 Power Test FSEVBLV_Voltage OP4(2),9,V,9,12,Passed,0.0002839
7.4.9 Power Test FSEVBHV_Voltage OP4(2),377,V,360,410,Passed,0.0003453
7.4.10 Power Test FTEABHV_UbatHV OP4(2),389,V,360,410,Passed,0.0005148
7.4.11 Power Test SAEABHV_Voltage OP4(2),377,V,360,410,Passed,0.0004191
7.8.1 Power Test U Current OP8(2),416.745112208892,A,400,500,Passed,0.2004484
7.8.2 Power Test V Current OP8(2),420.08278155865,A,400,500,Passed,0.1976822
7.8.3 Power Test W Current OP8(2),419.736165656673,A,400,500,Passed,0.3482907
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(2),29,deg,20,99,Passed,0.0001723
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(2),72,deg,20,99,Passed,0.0002203
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(2),32,deg,20,99,Passed,0.0001907
7.8.7 Power Test AN_CTP_COOLING_F OP8(2),48,deg,20,99,Passed,0.0004972
7.8.8 Power Test FSEVBLV_Voltage OP8(2),15,V,14,17,Passed,0.0004022
7.8.9 Power Test FSEVBHV_Voltage OP8(2),374,V,360,410,Passed,0.0001988
7.8.10 Power Test FTEABHV_UbatHV OP8(2),384,V,360,410,Passed,0.0001988
7.8.11 Power Test SAEABHV_Voltage OP8(2),374,V,360,410,Passed,0.000691
7.4.1 Power Test U Current OP4(3),416.859586430141,A,400,500,Passed,0.2031277
7.4.2 Power Test V Current OP4(3),419.917671368242,A,400,500,Passed,0.1978315
7.4.3 Power Test W Current OP4(3),419.238783710591,A,400,500,Passed,0.1973188
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(3),30,deg,20,99,Passed,0.0001656
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(3),72,deg,20,99,Passed,0.0001988
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(3),34,deg,20,99,Passed,0.0002394
7.4.7 Power Test AN_CTP_COOLING_F OP4(3),49,deg,20,99,Passed,0.0001653
7.4.8 Power Test FSEVBLV_Voltage OP4(3),9,V,9,12,Passed,0.0001596
7.4.9 Power Test FSEVBHV_Voltage OP4(3),380,V,360,410,Passed,0.000441
7.4.10 Power Test FTEABHV_UbatHV OP4(3),389,V,360,410,Passed,0.0006522
7.4.11 Power Test SAEABHV_Voltage OP4(3),380,V,360,410,Passed,0.0008153
7.8.1 Power Test U Current OP8(3),417.046567778219,A,400,500,Passed,0.2015684
7.8.2 Power Test V Current OP8(3),420.623269652422,A,400,500,Passed,0.1971306
7.8.3 Power Test W Current OP8(3),419.469864006145,A,400,500,Passed,0.3713017
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(3),31,deg,20,99,Passed,0.000173
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(3),73,deg,20,99,Passed,0.0002881
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(3),36,deg,20,99,Passed,0.0001928
7.8.7 Power Test AN_CTP_COOLING_F OP8(3),50,deg,20,99,Passed,0.0003337
7.8.8 Power Test FSEVBLV_Voltage OP8(3),15,V,14,17,Passed,0.0001642
7.8.9 Power Test FSEVBHV_Voltage OP8(3),377,V,360,410,Passed,0.0004347
7.8.10 Power Test FTEABHV_UbatHV OP8(3),389,V,360,410,Passed,0.0001995
7.8.11 Power Test SAEABHV_Voltage OP8(3),377,V,360,410,Passed,0.0001875
7.4.1 Power Test U Current OP4(4),416.691134746179,A,400,500,Passed,0.1970003
7.4.2 Power Test V Current OP4(4),421.113381318077,A,400,500,Passed,0.1965674
7.4.3 Power Test W Current OP4(4),418.683464612585,A,400,500,Passed,0.3682968
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(4),32,deg,20,99,Passed,0.0001748
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(4),73,deg,20,99,Passed,0.0001688
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(4),38,deg,20,99,Passed,0.000167
7.4.7 Power Test AN_CTP_COOLING_F OP4(4),51,deg,20,99,Passed,0.0001748
7.4.8 Power Test FSEVBLV_Voltage OP4(4),9,V,9,12,Passed,0.000166
7.4.9 Power Test FSEVBHV_Voltage OP4(4),384,V,360,410,Passed,0.0004181
7.4.10 Power Test FTEABHV_UbatHV OP4(4),393,V,360,410,Passed,0.0003012
7.4.11 Power Test SAEABHV_Voltage OP4(4),384,V,360,410,Passed,0.0001935
7.8.1 Power Test U Current OP8(4),417.888371474636,A,400,500,Passed,0.2012294
7.8.2 Power Test V Current OP8(4),421.188284999712,A,400,500,Passed,0.1999
7.8.3 Power Test W Current OP8(4),418.85488144359,A,400,500,Passed,0.3682414
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(4),33,deg,20,99,Passed,0.0001988
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(4),74,deg,20,99,Passed,0.0001585
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(4),39,deg,20,99,Passed,0.0019664
7.8.7 Power Test AN_CTP_COOLING_F OP8(4),52,deg,20,99,Passed,0.0004834
7.8.8 Power Test FSEVBLV_Voltage OP8(4),15,V,14,17,Passed,0.0003312
7.8.9 Power Test FSEVBHV_Voltage OP8(4),377,V,360,410,Passed,0.0001868
7.8.10 Power Test FTEABHV_UbatHV OP8(4),386,V,360,410,Passed,0.0004181
7.8.11 Power Test SAEABHV_Voltage OP8(4),377,V,360,410,Passed,0.0001917
7.4.1 Power Test U Current OP4(5),417.39150984418,A,400,500,Passed,0.1993929
7.4.2 Power Test V Current OP4(5),420.230808044356,A,400,500,Passed,0.2000056
7.4.3 Power Test W Current OP4(5),418.404146379709,A,400,500,Passed,0.1958909
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(5),34,deg,20,99,Passed,0.000172
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(5),74,deg,20,99,Passed,0.0002779
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(5),41,deg,20,99,Passed,0.0001868
7.4.7 Power Test AN_CTP_COOLING_F OP4(5),53,deg,20,99,Passed,0.0003789
7.4.8 Power Test FSEVBLV_Voltage OP4(5),9,V,9,12,Passed,0.0004036
7.4.9 Power Test FSEVBHV_Voltage OP4(5),375,V,360,410,Passed,0.0007454
7.4.10 Power Test FTEABHV_UbatHV OP4(5),384,V,360,410,Passed,0.0004728
7.4.11 Power Test SAEABHV_Voltage OP4(5),375,V,360,410,Passed,0.0003672
7.8.1 Power Test U Current OP8(5),418.642496305704,A,400,500,Passed,0.1975028
7.8.2 Power Test V Current OP8(5),419.774833334328,A,400,500,Passed,0.1967005
7.8.3 Power Test W Current OP8(5),418.272027039801,A,400,500,Passed,0.1984318
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(5),36,deg,20,99,Passed,0.0003616
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(5),74,deg,20,99,Passed,0.0001592
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(5),43,deg,20,99,Passed,0.0003252
7.8.7 Power Test AN_CTP_COOLING_F OP8(5),53,deg,20,99,Passed,0.000256
7.8.8 Power Test FSEVBLV_Voltage OP8(5),15,V,14,17,Passed,0.0001607
7.8.9 Power Test FSEVBHV_Voltage OP8(5),381,V,360,410,Passed,0.0004619
7.8.10 Power Test FTEABHV_UbatHV OP8(5),391,V,360,410,Passed,0.0002009
7.8.11 Power Test SAEABHV_Voltage OP8(5),381,V,360,410,Passed,0.0002895
7.4.1 Power Test U Current OP4(6),418.245036340791,A,400,500,Passed,0.2044
7.4.2 Power Test V Current OP4(6),419.933853766668,A,400,500,Passed,0.1989837
7.4.3 Power Test W Current OP4(6),419.298958457174,A,400,500,Passed,0.1985116
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(6),37,deg,20,99,Passed,0.0003294
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(6),75,deg,20,99,Passed,0.0002641
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(6),45,deg,20,99,Passed,0.0003467
7.4.7 Power Test AN_CTP_COOLING_F OP4(6),54,deg,20,99,Passed,0.0120934
7.4.8 Power Test FSEVBLV_Voltage OP4(6),9,V,9,12,Passed,0.0002059
7.4.9 Power Test FSEVBHV_Voltage OP4(6),377,V,360,410,Passed,0.0008517
7.4.10 Power Test FTEABHV_UbatHV OP4(6),386,V,360,410,Passed,0.0002542
7.4.11 Power Test SAEABHV_Voltage OP4(6),377,V,360,410,Passed,0.0001907
7.8.1 Power Test U Current OP8(6),419.298636184028,A,400,500,Passed,0.1990066
7.8.2 Power Test V Current OP8(6),420.404667501812,A,400,500,Passed,0.1954972
7.8.3 Power Test W Current OP8(6),417.781861679487,A,400,500,Passed,0.196013
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(6),38,deg,20,99,Passed,0.0001794
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(6),75,deg,20,99,Passed,0.0004131
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(6),46,deg,20,99,Passed,0.0002129
7.8.7 Power Test AN_CTP_COOLING_F OP8(6),55,deg,20,99,Passed,0.0122297
7.8.8 Power Test FSEVBLV_Voltage OP8(6),15,V,14,17,Passed,0.0001953
7.8.9 Power Test FSEVBHV_Voltage OP8(6),374,V,360,410,Passed,0.0002083
7.8.10 Power Test FTEABHV_UbatHV OP8(6),384,V,360,410,Passed,0.0004664
7.8.11 Power Test SAEABHV_Voltage OP8(6),374,V,360,410,Passed,0.0006119
7.4.1 Power Test U Current OP4(7),419.529032400724,A,400,500,Passed,0.1979396
7.4.2 Power Test V Current OP4(7),419.425149958048,A,400,500,Passed,0.1994724
7.4.3 Power Test W Current OP4(7),418.471287890867,A,400,500,Passed,0.2016761
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(7),39,deg,20,99,Passed,0.0001748
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(7),76,deg,20,99,Passed,0.00016
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(7),48,deg,20,99,Passed,0.0004071
7.4.7 Power Test AN_CTP_COOLING_F OP4(7),55,deg,20,99,Passed,0.0015155
7.4.8 Power Test FSEVBLV_Voltage OP4(7),9,V,9,12,Passed,0.0001829
7.4.9 Power Test FSEVBHV_Voltage OP4(7),383,V,360,410,Passed,0.0002207
7.4.10 Power Test FTEABHV_UbatHV OP4(7),392,V,360,410,Passed,0.0003979
7.4.11 Power Test SAEABHV_Voltage OP4(7),383,V,360,410,Passed,0.0004703
7.8.1 Power Test U Current OP8(7),420.422507785923,A,400,500,Passed,0.1955233
7.8.2 Power Test V Current OP8(7),420.651659090445,A,400,500,Passed,0.1961811
7.8.3 Power Test W Current OP8(7),418.686729586703,A,400,500,Passed,0.3550113
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(7),40,deg,20,99,Passed,0.0001709
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(7),76,deg,20,99,Passed,0.0003552
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(7),50,deg,20,99,Passed,0.0009054
7.8.7 Power Test AN_CTP_COOLING_F OP8(7),56,deg,20,99,Passed,0.0002133
7.8.8 Power Test FSEVBLV_Voltage OP8(7),15,V,14,17,Passed,0.0003068
7.8.9 Power Test FSEVBHV_Voltage OP8(7),375,V,360,410,Passed,0.0002811
7.8.10 Power Test FTEABHV_UbatHV OP8(7),384,V,360,410,Passed,0.0003951
7.8.11 Power Test SAEABHV_Voltage OP8(7),375,V,360,410,Passed,0.0002087
7.4.1 Power Test U Current OP4(8),420.037618182462,A,400,500,Passed,0.1970999
7.4.2 Power Test V Current OP4(8),418.837435285812,A,400,500,Passed,0.2007181
7.4.3 Power Test W Current OP4(8),419.40649908802,A,400,500,Passed,0.3581098
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(8),41,deg,20,99,Passed,0.0002249
