Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210390106!V29102835!210150167!V29102835!210330087!V29102835
Total Test Time,1054
DUTResult,Failed
Date Time,20210313181206
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,5.37E-05
End,,,,,Done,6.53E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,5.68E-05
7.4.1 Power Test U Current OP4(0),419.740387872294,A,400,500,Passed,0.1926384
7.4.2 Power Test V Current OP4(0),418.648332287223,A,400,500,Passed,0.1730345
7.4.3 Power Test W Current OP4(0),421.054824391619,A,400,500,Passed,0.1710966
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),22,deg,20,99,Passed,0.0001561
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),72,deg,20,99,Passed,0.0001766
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),22,deg,20,99,Passed,0.0004202
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),32,deg,20,99,Passed,0.0001762
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0002034
7.4.9 Power Test FSEVBHV_Voltage OP4(0),376,V,360,410,Passed,0.0002514
7.4.10 Power Test FTEABHV_UbatHV OP4(0),386,V,360,410,Passed,0.0001953
7.4.11 Power Test SAEABHV_Voltage OP4(0),376,V,360,410,Passed,0.0002037
7.8.1 Power Test U Current OP8(0),419.100150532576,A,400,500,Passed,0.2092308
7.8.2 Power Test V Current OP8(0),418.267958226203,A,400,500,Passed,0.2022125
7.8.3 Power Test W Current OP8(0),421.366003906307,A,400,500,Passed,0.2011482
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),23,deg,20,99,Passed,0.0001787
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),73,deg,20,99,Passed,0.0001684
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),23,deg,20,99,Passed,0.0001773
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),40,deg,20,99,Passed,0.0003623
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0003955
7.8.9 Power Test FSEVBHV_Voltage OP8(0),383,V,360,410,Passed,0.0001727
7.8.10 Power Test FTEABHV_UbatHV OP8(0),395,V,360,410,Passed,0.0001879
7.8.11 Power Test SAEABHV_Voltage OP8(0),383,V,360,410,Passed,0.0002052
7.4.1 Power Test U Current OP4(1),420.088624884023,A,400,500,Passed,0.2022503
7.4.2 Power Test V Current OP4(1),418.471593513619,A,400,500,Passed,0.2015257
7.4.3 Power Test W Current OP4(1),420.406501037081,A,400,500,Passed,0.2036376
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),23,deg,20,99,Passed,0.0002758
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),72,deg,20,99,Passed,0.0001766
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),25,deg,20,99,Passed,0.0002479
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),44,deg,20,99,Passed,0.0002687
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001621
7.4.9 Power Test FSEVBHV_Voltage OP4(1),379,V,360,410,Passed,0.000191
7.4.10 Power Test FTEABHV_UbatHV OP4(1),389,V,360,410,Passed,0.0002705
7.4.11 Power Test SAEABHV_Voltage OP4(1),379,V,360,410,Passed,0.0001826
7.8.1 Power Test U Current OP8(1),418.704583762812,A,400,500,Passed,0.2339067
7.8.2 Power Test V Current OP8(1),418.429734608951,A,400,500,Passed,0.2026037
7.8.3 Power Test W Current OP8(1),420.455728842632,A,400,500,Passed,0.2235004
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),24,deg,20,99,Passed,0.0001857
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),72,deg,20,99,Passed,0.0001628
