Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210330092!V29102835!210330092!V29102835!210330092!V29102835!210330092!V29102835!210330092!V29102835
Total Test Time,1053
DUTResult,Passed
Date Time,20210313103616
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,3.18E-05
End,,,,,Done,6.11E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,4.94E-05
7.4.1 Power Test U Current OP4(0),425.040793677519,A,400,500,Passed,0.1800157
7.4.2 Power Test V Current OP4(0),421.498479978883,A,400,500,Passed,0.1735433
7.4.3 Power Test W Current OP4(0),424.489193112853,A,400,500,Passed,0.1734571
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),53,deg,20,99,Passed,0.0001607
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),75,deg,20,99,Passed,0.0001511
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),57,deg,20,99,Passed,0.0001423
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),52,deg,20,99,Passed,0.0002041
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0004717
7.4.9 Power Test FSEVBHV_Voltage OP4(0),386,V,360,410,Passed,0.0001903
7.4.10 Power Test FTEABHV_UbatHV OP4(0),385,V,360,410,Passed,0.0001603
7.4.11 Power Test SAEABHV_Voltage OP4(0),386,V,360,410,Passed,0.0001564
7.8.1 Power Test U Current OP8(0),423.620593740385,A,400,500,Passed,0.1795697
7.8.2 Power Test V Current OP8(0),425.105821601909,A,400,500,Passed,0.176962
7.8.3 Power Test W Current OP8(0),425.631458858209,A,400,500,Passed,0.1741969
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),54,deg,20,99,Passed,0.0001691
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),76,deg,20,99,Passed,0.000167
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),58,deg,20,99,Passed,0.0002376
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),55,deg,20,99,Passed,0.0001829
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0002408
7.8.9 Power Test FSEVBHV_Voltage OP8(0),394,V,360,410,Passed,0.000232
7.8.10 Power Test FTEABHV_UbatHV OP8(0),393,V,360,410,Passed,0.000191
