Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,29102835
Total Test Time,1124
DUTResult,Passed
Date Time,20210313035136
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,4.03E-05
End,,,,,Done,6.53E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,7.56E-05
If,,,,,Done,3.39E-05
End,,,,,Done,6.43E-05
If,,,,,Done,2.86E-05
End,,,,,Done,6.21E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,5.86E-05
7.4.1 Power Test U Current OP4(0),418.276186159348,A,400,500,Passed,0.1868412
7.4.2 Power Test V Current OP4(0),418.652542215404,A,400,500,Passed,0.187671
7.4.3 Power Test W Current OP4(0),422.541875053069,A,400,500,Passed,0.1800513
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),46,deg,20,99,Passed,0.0002027
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),71,deg,20,99,Passed,0.000166
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),50,deg,20,99,Passed,0.0001536
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),53,deg,20,99,Passed,0.0001921
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0004619
7.4.9 Power Test FSEVBHV_Voltage OP4(0),377,V,360,410,Passed,0.0002341
7.4.10 Power Test FTEABHV_UbatHV OP4(0),386,V,360,410,Passed,0.0001663
7.4.11 Power Test SAEABHV_Voltage OP4(0),377,V,360,410,Passed,0.0001974
7.8.1 Power Test U Current OP8(0),417.219002162312,A,400,500,Passed,0.1793688
7.8.2 Power Test V Current OP8(0),420.169515975801,A,400,500,Passed,0.1694558
7.8.3 Power Test W Current OP8(0),425.208602199095,A,400,500,Passed,0.1724511
