Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210360025!V29102835!210360025!V29102835!210360025!V29102835!210390074!V29102835!210390074!V29102835!210390074!V29102835
Total Test Time,1054
DUTResult,Failed
Date Time,20210314221632
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,2.9E-05
End,,,,,Done,6.46E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,4.63E-05
7.4.1 Power Test U Current OP4(0),426.067457689985,A,400,500,Passed,0.1773942
7.4.2 Power Test V Current OP4(0),427.324842884421,A,400,500,Passed,0.1715412
7.4.3 Power Test W Current OP4(0),430.868083523605,A,400,500,Passed,0.1705638
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),66,deg,20,99,Passed,0.0002034
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),75,deg,20,99,Passed,0.0001748
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),76,deg,20,99,Passed,0.0001578
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),57,deg,20,99,Passed,0.0001773
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.000161
7.4.9 Power Test FSEVBHV_Voltage OP4(0),396,V,360,410,Passed,0.000292
7.4.10 Power Test FTEABHV_UbatHV OP4(0),394,V,360,410,Passed,0.000262
7.4.11 Power Test SAEABHV_Voltage OP4(0),396,V,360,410,Passed,0.0001935
7.8.1 Power Test U Current OP8(0),425.256359748164,A,400,500,Passed,0.1919728
7.8.2 Power Test V Current OP8(0),427.522342396423,A,400,500,Passed,0.1701888
7.8.3 Power Test W Current OP8(0),429.662402821039,A,400,500,Passed,0.1703837
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),67,deg,20,99,Passed,0.0001645
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),76,deg,20,99,Passed,0.0001691
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),76,deg,20,99,Passed,0.0001794
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),59,deg,20,99,Passed,0.0003316
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0001787
7.8.9 Power Test FSEVBHV_Voltage OP8(0),388,V,360,410,Passed,0.0002203
7.8.10 Power Test FTEABHV_UbatHV OP8(0),387,V,360,410,Passed,0.0001843
7.8.11 Power Test SAEABHV_Voltage OP8(0),388,V,360,410,Passed,0.000179
7.4.1 Power Test U Current OP4(1),425.240831703197,A,400,500,Passed,0.1802632
7.4.2 Power Test V Current OP4(1),426.60191897468,A,400,500,Passed,0.1697111
7.4.3 Power Test W Current OP4(1),430.442354850959,A,400,500,Passed,0.1835418
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),67,deg,20,99,Passed,0.000178
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),77,deg,20,99,Passed,0.0002917
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),76,deg,20,99,Passed,0.0002112
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),60,deg,20,99,Passed,0.0003683
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001705
7.4.9 Power Test FSEVBHV_Voltage OP4(1),396,V,360,410,Passed,0.0002041
7.4.10 Power Test FTEABHV_UbatHV OP4(1),395,V,360,410,Passed,0.0004908
7.4.11 Power Test SAEABHV_Voltage OP4(1),396,V,360,410,Passed,0.0001843
7.8.1 Power Test U Current OP8(1),425.223768025653,A,400,500,Passed,0.1777233
7.8.2 Power Test V Current OP8(1),426.882210980616,A,400,500,Passed,0.1718452
7.8.3 Power Test W Current OP8(1),430.385751615111,A,400,500,Passed,0.1706094
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),67,deg,20,99,Passed,0.0003326
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),76,deg,20,99,Passed,0.0001804
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),76,deg,20,99,Passed,0.0001811
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),60,deg,20,99,Passed,0.0001628
7.8.8 Power Test FSEVBLV_Voltage OP8(1),15,V,14,17,Passed,0.0001804
7.8.9 Power Test FSEVBHV_Voltage OP8(1),389,V,360,410,Passed,0.0002532
7.8.10 Power Test FTEABHV_UbatHV OP8(1),388,V,360,410,Passed,0.0002698
7.8.11 Power Test SAEABHV_Voltage OP8(1),389,V,360,410,Passed,0.0004943
7.4.1 Power Test U Current OP4(2),425.877679755417,A,400,500,Passed,0.1772406
7.4.2 Power Test V Current OP4(2),425.936261289914,A,400,500,Passed,0.1700734
7.4.3 Power Test W Current OP4(2),430.550046393598,A,400,500,Passed,0.1724324
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(2),67,deg,20,99,Passed,0.000185
