Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210390074!V29102835!210390074!V29102835!210390074!V29102835!210260166!V29102835
Total Test Time,1077
DUTResult,Terminated
Date Time,20210314224457
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,5.79E-05
End,,,,,Done,3.5E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,7.52E-05
If,,,,,Done,4.2E-05
End,,,,,Done,5.9E-05
If,,,,,Done,2.26E-05
End,,,,,Done,2.58E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,6.5E-05
7.4.1 Power Test U Current OP4(0),0.0840160146468177,A,400,500,Failed,0.2130528
7.4.2 Power Test V Current OP4(0),0.257016900061669,A,400,500,Failed,0.1737477
7.4.3 Power Test W Current OP4(0),0.105475088800923,A,400,500,Failed,0.1728922
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),54,deg,20,99,Passed,0.0003655
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),59,deg,20,99,Passed,0.0001748
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),54,deg,20,99,Passed,0.0001755
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),55,deg,20,99,Passed,0.0001847
7.4.8 Power Test FSEVBLV_Voltage OP4(0),10,V,9,12,Passed,0.0001723
7.4.9 Power Test FSEVBHV_Voltage OP4(0),377,V,360,410,Passed,0.0002871
7.4.10 Power Test FTEABHV_UbatHV OP4(0),387,V,360,410,Passed,0.0003178
7.4.11 Power Test SAEABHV_Voltage OP4(0),377,V,360,410,Passed,0.0002895
7.8.1 Power Test U Current OP8(0),0.0839921824136984,A,400,500,Failed,0.1790754
7.8.2 Power Test V Current OP8(0),0.257395261154642,A,400,500,Failed,0.1727675
7.8.3 Power Test W Current OP8(0),0.111002405198551,A,400,500,Failed,0.17183
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),55,deg,20,99,Passed,0.0001649
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),59,deg,20,99,Passed,0.0001423
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),55,deg,20,99,Passed,0.0001705
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),55,deg,20,99,Passed,0.0001631
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0002126
7.8.9 Power Test FSEVBHV_Voltage OP8(0),377,V,360,410,Passed,0.0001571
7.8.10 Power Test FTEABHV_UbatHV OP8(0),387,V,360,410,Passed,0.0001811
7.8.11 Power Test SAEABHV_Voltage OP8(0),377,V,360,410,Passed,0.0001645
7.4.1 Power Test U Current OP4(1),0.0859196394085211,A,400,500,Failed,0.1791192
7.4.2 Power Test V Current OP4(1),0.263713572895986,A,400,500,Failed,0.1727644
7.4.3 Power Test W Current OP4(1),0.108341364316833,A,400,500,Failed,0.1723332
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),55,deg,20,99,Passed,0.0001727
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),59,deg,20,99,Passed,0.0001879
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),55,deg,20,99,Passed,0.0001645
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),55,deg,20,99,Passed,0.0001645
7.4.8 Power Test FSEVBLV_Voltage OP4(1),10,V,9,12,Passed,0.0001691
7.4.9 Power Test FSEVBHV_Voltage OP4(1),377,V,360,410,Passed,0.0001766
7.4.10 Power Test FTEABHV_UbatHV OP4(1),387,V,360,410,Passed,0.0001822
7.4.11 Power Test SAEABHV_Voltage OP4(1),377,V,360,410,Passed,0.0004509
7.8.1 Power Test U Current OP8(1),0.0842035819684318,A,400,500,Failed,0.2190933
7.8.2 Power Test V Current OP8(1),0.260752410118874,A,400,500,Failed,0.174074
7.8.3 Power Test W Current OP8(1),0.102229541846211,A,400,500,Failed,0.1736072
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),56,deg,20,99,Passed,0.0002165
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),60,deg,20,99,Passed,0.0001744
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),55,deg,20,99,Passed,0.0002641
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),56,deg,20,99,Passed,0.0001621
7.8.8 Power Test FSEVBLV_Voltage OP8(1),15,V,14,17,Passed,0.0001896
7.8.9 Power Test FSEVBHV_Voltage OP8(1),377,V,360,410,Passed,0.0001691
7.8.10 Power Test FTEABHV_UbatHV OP8(1),387,V,360,410,Passed,0.0001818
7.8.11 Power Test SAEABHV_Voltage OP8(1),377,V,360,410,Passed,0.0002454
7.4.1 Power Test U Current OP4(2),0.0808126518568972,A,400,500,Failed,0.1782643
7.4.2 Power Test V Current OP4(2),0.268518349358434,A,400,500,Failed,0.1738021
7.4.3 Power Test W Current OP4(2),0.104796599750471,A,400,500,Failed,0.1744878
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(2),56,deg,20,99,Passed,0.0002373
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(2),60,deg,20,99,Passed,0.0001681
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(2),55,deg,20,99,Passed,0.0001999
7.4.7 Power Test AN_CTP_COOLING_F OP4(2),56,deg,20,99,Passed,0.0004382
7.4.8 Power Test FSEVBLV_Voltage OP4(2),10,V,9,12,Passed,0.0001663
7.4.9 Power Test FSEVBHV_Voltage OP4(2),377,V,360,410,Passed,0.0002458
