Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,
Total Test Time,1115
DUTResult,Failed
Date Time,20210314221753
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,5.72E-05
End,,,,,Done,5.93E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,5.97E-05
If,,,,,Done,4.52E-05
End,,,,,Done,6.11E-05
If,,,,,Done,4.31E-05
End,,,,,Done,6.5E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,7.03E-05
7.4.1 Power Test U Current OP4(0),0.0758912538355212,A,400,500,Failed,0.1772043
7.4.2 Power Test V Current OP4(0),0.261782560733902,A,400,500,Failed,0.1716789
7.4.3 Power Test W Current OP4(0),0.104524305846945,A,400,500,Failed,0.1729766
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),41,deg,20,99,Passed,0.0001826
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),62,deg,20,99,Passed,0.0001741
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),41,deg,20,99,Passed,0.0001734
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),54,deg,20,99,Passed,0.0001645
7.4.8 Power Test FSEVBLV_Voltage OP4(0),10,V,9,12,Passed,0.0002076
7.4.9 Power Test FSEVBHV_Voltage OP4(0),377,V,360,410,Passed,0.0002359
7.4.10 Power Test FTEABHV_UbatHV OP4(0),387,V,360,410,Passed,0.0002327
7.4.11 Power Test SAEABHV_Voltage OP4(0),377,V,360,410,Passed,0.0003814
7.8.1 Power Test U Current OP8(0),0.0757557513873357,A,400,500,Failed,0.1800852
7.8.2 Power Test V Current OP8(0),0.260760413110047,A,400,500,Failed,0.1716747
7.8.3 Power Test W Current OP8(0),0.109282417727107,A,400,500,Failed,0.1729882
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),42,deg,20,99,Passed,0.0003252
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),62,deg,20,99,Passed,0.0001631
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),42,deg,20,99,Passed,0.0001766
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),54,deg,20,99,Passed,0.0002122
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0004036
7.8.9 Power Test FSEVBHV_Voltage OP8(0),377,V,360,410,Passed,0.0002948
7.8.10 Power Test FTEABHV_UbatHV OP8(0),387,V,360,410,Passed,0.0002479
7.8.11 Power Test SAEABHV_Voltage OP8(0),377,V,360,410,Passed,0.0001663
7.4.1 Power Test U Current OP4(1),0.0761995331675696,A,400,500,Failed,0.1793434
7.4.2 Power Test V Current OP4(1),0.264635480454382,A,400,500,Failed,0.1721274
7.4.3 Power Test W Current OP4(1),0.112796516689453,A,400,500,Failed,0.1725366
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),43,deg,20,99,Passed,0.0002002
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),62,deg,20,99,Passed,0.0002525
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),43,deg,20,99,Passed,0.0001582
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),55,deg,20,99,Passed,0.0001716
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0012009
7.4.9 Power Test FSEVBHV_Voltage OP4(1),377,V,360,410,Passed,0.0002535
