Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,V29102835
Total Test Time,1054
DUTResult,Passed
Date Time,20210314031046
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,0.0001518
End,,,,,Done,2.01E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,5.26E-05
7.4.1 Power Test U Current OP4(0),423.390757719039,A,400,500,Passed,0.1815799
7.4.2 Power Test V Current OP4(0),419.571967027884,A,400,500,Passed,0.1747806
7.4.3 Power Test W Current OP4(0),423.034994711961,A,400,500,Passed,0.1744306
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),22,deg,20,99,Passed,0.0001826
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),71,deg,20,99,Passed,0.000161
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),22,deg,20,99,Passed,0.0001826
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),31,deg,20,99,Passed,0.0001585
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001631
7.4.9 Power Test FSEVBHV_Voltage OP4(0),374,V,360,410,Passed,0.0001907
7.4.10 Power Test FTEABHV_UbatHV OP4(0),384,V,360,410,Passed,0.0001667
7.4.11 Power Test SAEABHV_Voltage OP4(0),374,V,360,410,Passed,0.0001857
7.8.1 Power Test U Current OP8(0),423.583239376791,A,400,500,Passed,0.1814938
7.8.2 Power Test V Current OP8(0),420.45810594695,A,400,500,Passed,0.1756443
7.8.3 Power Test W Current OP8(0),422.872196204751,A,400,500,Passed,0.1741729
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),22,deg,20,99,Passed,0.0001603
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),73,deg,20,99,Passed,0.0001854
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),24,deg,20,99,Passed,0.000184
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),39,deg,20,99,Passed,0.0001571
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0003277
7.8.9 Power Test FSEVBHV_Voltage OP8(0),373,V,360,410,Passed,0.0002574
7.8.10 Power Test FTEABHV_UbatHV OP8(0),382,V,360,410,Passed,0.0001889
7.8.11 Power Test SAEABHV_Voltage OP8(0),373,V,360,410,Passed,0.0001776
7.4.1 Power Test U Current OP4(1),424.459917944943,A,400,500,Passed,0.1825104
7.4.2 Power Test V Current OP4(1),420.038645378335,A,400,500,Passed,0.1758424
7.4.3 Power Test W Current OP4(1),422.407316968259,A,400,500,Passed,0.1745578
