Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210280165!V29102835!210280165!V29102835!210280165!V29102835!210280165!V29102835!210280165!V29102835!210280165!V29102835
Total Test Time,399
DUTResult,Terminated
Date Time,20210315002612
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,3.14E-05
End,,,,,Done,6.18E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,0.000119
If,,,,,Done,4.27E-05
End,,,,,Done,5.93E-05
If,,,,,Done,2.68E-05
End,,,,,Done,6.64E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,0.0001275
7.4.1 Power Test U Current OP4(0),0.0434057502749139,A,400,500,Failed,0.1795238
7.4.2 Power Test V Current OP4(0),0.0454913999812706,A,400,500,Failed,0.1690924
7.4.3 Power Test W Current OP4(0),0.045790022047273,A,400,500,Failed,0.1693523
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),42,deg,20,99,Passed,0.0001628
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),59,deg,20,99,Passed,0.0003294
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),45,deg,20,99,Passed,0.0001656
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),51,deg,20,99,Passed,0.0001755
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001702
7.4.9 Power Test FSEVBHV_Voltage OP4(0),4,V,360,410,Failed,0.0001663
7.4.10 Power Test FTEABHV_UbatHV OP4(0),13,V,360,410,Failed,0.0002239
7.4.11 Power Test SAEABHV_Voltage OP4(0),4,V,360,410,Failed,0.0001783
7.8.1 Power Test U Current OP8(0),0.0444971642510777,A,400,500,Failed,0.1773141
7.8.2 Power Test V Current OP8(0),0.0459530964571463,A,400,500,Failed,0.1684039
7.8.3 Power Test W Current OP8(0),0.047100124614627,A,400,500,Failed,0.1716238
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),42,deg,20,99,Passed,0.0001642
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),59,deg,20,99,Passed,0.0001727
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),45,deg,20,99,Passed,0.0001769
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),52,deg,20,99,Passed,0.0001829
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0001695
7.8.9 Power Test FSEVBHV_Voltage OP8(0),4,V,360,410,Failed,0.0002161
7.8.10 Power Test FTEABHV_UbatHV OP8(0),13,V,360,410,Failed,0.0002048
7.8.11 Power Test SAEABHV_Voltage OP8(0),4,V,360,410,Failed,0.0002006
7.4.1 Power Test U Current OP4(1),0.0463543978599782,A,400,500,Failed,0.1773981
7.4.2 Power Test V Current OP4(1),0.0445827571294068,A,400,500,Failed,0.1697051
7.4.3 Power Test W Current OP4(1),0.0449186313079435,A,400,500,Failed,0.1700882
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),43,deg,20,99,Passed,0.0001875
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),60,deg,20,99,Passed,0.0001818
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),46,deg,20,99,Passed,0.0001589
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),53,deg,20,99,Passed,0.0001494
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001705
7.4.9 Power Test FSEVBHV_Voltage OP4(1),4,V,360,410,Failed,0.0002239
