Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210530039!V29102835!210530039!V29102835!210530039!V29102835!210530039!V29102835
Total Test Time,1228
DUTResult,Failed
Date Time,20210315055840
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,2.75E-05
End,,,,,Done,1.87E-05
7.0.0 Error Code Check,00 00 00 00 00 00 00 00,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Failed,8.83E-05
If,,,,,Done,3.11E-05
End,,,,,Done,1.8E-05
If,,,,,Done,3.46E-05
End,,,,,Done,1.8E-05
7.0.0 Error Code Check,00 00 00 00 00 00 00 00,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Failed,5.08E-05
7.4.1 Power Test U Current OP4(0),0.0791979086199833,A,400,500,Failed,0.179516
7.4.2 Power Test V Current OP4(0),0.219084253385786,A,400,500,Failed,0.1796421
7.4.3 Power Test W Current OP4(0),0.0837527303260439,A,400,500,Failed,0.1705299
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),0,deg,20,99,Failed,0.0001688
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),0,deg,20,99,Failed,0.0001635
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),0,deg,20,99,Failed,0.0002595
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),0,deg,20,99,Failed,0.0002433
7.4.8 Power Test FSEVBLV_Voltage OP4(0),0,V,9,12,Failed,0.0001642
7.4.9 Power Test FSEVBHV_Voltage OP4(0),-999,V,360,410,Failed,0.000268
7.4.10 Power Test FTEABHV_UbatHV OP4(0),-999,V,360,410,Failed,0.000423
7.4.11 Power Test SAEABHV_Voltage OP4(0),-999,V,360,410,Failed,0.0004442
7.8.1 Power Test U Current OP8(0),0.0665353180569279,A,400,500,Failed,0.1777226
7.8.2 Power Test V Current OP8(0),0.19934167272943,A,400,500,Failed,0.1687948
7.8.3 Power Test W Current OP8(0),0.0829502798684001,A,400,500,Failed,0.1700179
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),0,deg,20,99,Failed,0.0001861
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),0,deg,20,99,Failed,0.000161
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),0,deg,20,99,Failed,0.0002366
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),0,deg,20,99,Failed,0.0002041
7.8.8 Power Test FSEVBLV_Voltage OP8(0),0,V,14,17,Failed,0.000178
7.8.9 Power Test FSEVBHV_Voltage OP8(0),-999,V,360,410,Failed,0.0001776
7.8.10 Power Test FTEABHV_UbatHV OP8(0),-999,V,360,410,Failed,0.0001497
7.8.11 Power Test SAEABHV_Voltage OP8(0),-999,V,360,410,Failed,0.0002225
7.4.1 Power Test U Current OP4(1),0.0660228481147343,A,400,500,Failed,0.1765323
7.4.2 Power Test V Current OP4(1),0.210300811742372,A,400,500,Failed,0.1708752
7.4.3 Power Test W Current OP4(1),0.0848522161973662,A,400,500,Failed,0.1695359
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),0,deg,20,99,Failed,0.0001716
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),0,deg,20,99,Failed,0.0002246
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),0,deg,20,99,Failed,0.0002426
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),0,deg,20,99,Failed,0.0001974
7.4.8 Power Test FSEVBLV_Voltage OP4(1),0,V,9,12,Failed,0.0001893
7.4.9 Power Test FSEVBHV_Voltage OP4(1),-999,V,360,410,Failed,0.0002182
7.4.10 Power Test FTEABHV_UbatHV OP4(1),-999,V,360,410,Failed,0.0002027
7.4.11 Power Test SAEABHV_Voltage OP4(1),-999,V,360,410,Failed,0.0001744
7.8.1 Power Test U Current OP8(1),0.0659739235344099,A,400,500,Failed,0.17792
7.8.2 Power Test V Current OP8(1),0.201103466365142,A,400,500,Failed,0.1707146
7.8.3 Power Test W Current OP8(1),0.0860883795928046,A,400,500,Failed,0.169775
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),0,deg,20,99,Failed,0.0001716
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),0,deg,20,99,Failed,0.0002422
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),0,deg,20,99,Failed,0.0001723
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),0,deg,20,99,Failed,0.0001946
7.8.8 Power Test FSEVBLV_Voltage OP8(1),0,V,14,17,Failed,0.0001953
7.8.9 Power Test FSEVBHV_Voltage OP8(1),-999,V,360,410,Failed,0.0003994
7.8.10 Power Test FTEABHV_UbatHV OP8(1),-999,V,360,410,Failed,0.0001758
7.8.11 Power Test SAEABHV_Voltage OP8(1),-999,V,360,410,Failed,0.0001974
7.4.1 Power Test U Current OP4(2),0.0669058548718782,A,400,500,Failed,0.1776555
7.4.2 Power Test V Current OP4(2),0.203022222292994,A,400,500,Failed,0.1687414
7.4.3 Power Test W Current OP4(2),0.0805059352917358,A,400,500,Failed,0.1704741
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(2),0,deg,20,99,Failed,0.0001924
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(2),0,deg,20,99,Failed,0.0002048
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(2),0,deg,20,99,Failed,0.0002009
7.4.7 Power Test AN_CTP_COOLING_F OP4(2),0,deg,20,99,Failed,0.000178
7.4.8 Power Test FSEVBLV_Voltage OP4(2),0,V,9,12,Failed,0.0001642
7.4.9 Power Test FSEVBHV_Voltage OP4(2),-999,V,360,410,Failed,0.0002394
7.4.10 Power Test FTEABHV_UbatHV OP4(2),-999,V,360,410,Failed,0.0001907
7.4.11 Power Test SAEABHV_Voltage OP4(2),-999,V,360,410,Failed,0.0001953
7.8.1 Power Test U Current OP8(2),0.065944736365774,A,400,500,Failed,0.2478677
7.8.2 Power Test V Current OP8(2),0.200360097665197,A,400,500,Failed,0.3178175
7.8.3 Power Test W Current OP8(2),0.0818448509135162,A,400,500,Failed,0.3175272
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(2),0,deg,20,99,Failed,0.0001977
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(2),0,deg,20,99,Failed,0.0001829
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(2),0,deg,20,99,Failed,0.00022
7.8.7 Power Test AN_CTP_COOLING_F OP8(2),0,deg,20,99,Failed,0.0001734
7.8.8 Power Test FSEVBLV_Voltage OP8(2),0,V,14,17,Failed,0.0001829
7.8.9 Power Test FSEVBHV_Voltage OP8(2),-999,V,360,410,Failed,0.0002405
7.8.10 Power Test FTEABHV_UbatHV OP8(2),-999,V,360,410,Failed,0.0002129
7.8.11 Power Test SAEABHV_Voltage OP8(2),-999,V,360,410,Failed,0.0001977
7.4.1 Power Test U Current OP4(3),0.0769412968528519,A,400,500,Failed,0.1777876
7.4.2 Power Test V Current OP4(3),0.27795834708633,A,400,500,Failed,0.1768558
7.4.3 Power Test W Current OP4(3),0.112534860624554,A,400,500,Failed,0.1750398
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(3),0,deg,20,99,Failed,0.000209
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(3),0,deg,20,99,Failed,0.0001847
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(3),0,deg,20,99,Failed,0.0001829
7.4.7 Power Test AN_CTP_COOLING_F OP4(3),0,deg,20,99,Failed,0.000155
7.4.8 Power Test FSEVBLV_Voltage OP4(3),0,V,9,12,Failed,0.0002941
7.4.9 Power Test FSEVBHV_Voltage OP4(3),-999,V,360,410,Failed,0.0002807
7.4.10 Power Test FTEABHV_UbatHV OP4(3),-999,V,360,410,Failed,0.0001875
7.4.11 Power Test SAEABHV_Voltage OP4(3),-999,V,360,410,Failed,0.0001868
7.8.1 Power Test U Current OP8(3),0.0807284059309678,A,400,500,Failed,0.1897737
7.8.2 Power Test V Current OP8(3),0.270690911172857,A,400,500,Failed,0.1731284
7.8.3 Power Test W Current OP8(3),0.111136561890356,A,400,500,Failed,0.1730843
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(3),0,deg,20,99,Failed,0.0002112
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(3),0,deg,20,99,Failed,0.0002394
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(3),0,deg,20,99,Failed,0.0002136
7.8.7 Power Test AN_CTP_COOLING_F OP8(3),0,deg,20,99,Failed,0.0002182
7.8.8 Power Test FSEVBLV_Voltage OP8(3),0,V,14,17,Failed,0.0002221
7.8.9 Power Test FSEVBHV_Voltage OP8(3),-999,V,360,410,Failed,0.0001999
7.8.10 Power Test FTEABHV_UbatHV OP8(3),-999,V,360,410,Failed,0.0002182
7.8.11 Power Test SAEABHV_Voltage OP8(3),-999,V,360,410,Failed,0.0002564
7.4.1 Power Test U Current OP4(4),0.0804838968263961,A,400,500,Failed,0.2397848
7.4.2 Power Test V Current OP4(4),0.275289225489982,A,400,500,Failed,0.1744592
7.4.3 Power Test W Current OP4(4),0.116072585903807,A,400,500,Failed,0.1724628
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(4),0,deg,20,99,Failed,0.0001907
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(4),0,deg,20,99,Failed,0.0002242
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(4),0,deg,20,99,Failed,0.0001917
7.4.7 Power Test AN_CTP_COOLING_F OP4(4),0,deg,20,99,Failed,0.0001748
7.4.8 Power Test FSEVBLV_Voltage OP4(4),0,V,9,12,Failed,0.0001723
7.4.9 Power Test FSEVBHV_Voltage OP4(4),-999,V,360,410,Failed,0.0009784
7.4.10 Power Test FTEABHV_UbatHV OP4(4),-999,V,360,410,Failed,0.0002518
7.4.11 Power Test SAEABHV_Voltage OP4(4),-999,V,360,410,Failed,0.0002518
7.8.1 Power Test U Current OP8(4),0.0814485653587214,A,400,500,Failed,0.195138
7.8.2 Power Test V Current OP8(4),0.279047560036423,A,400,500,Failed,0.1711461
7.8.3 Power Test W Current OP8(4),0.111778854421836,A,400,500,Failed,0.1725663
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(4),0,deg,20,99,Failed,0.0001723
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(4),0,deg,20,99,Failed,0.0002023
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(4),0,deg,20,99,Failed,0.0001596
7.8.7 Power Test AN_CTP_COOLING_F OP8(4),0,deg,20,99,Failed,0.0001879
7.8.8 Power Test FSEVBLV_Voltage OP8(4),0,V,14,17,Failed,0.0001677
7.8.9 Power Test FSEVBHV_Voltage OP8(4),-999,V,360,410,Failed,0.0002165
7.8.10 Power Test FTEABHV_UbatHV OP8(4),-999,V,360,410,Failed,0.0002214
7.8.11 Power Test SAEABHV_Voltage OP8(4),-999,V,360,410,Failed,0.0002532
7.4.1 Power Test U Current OP4(5),0.0833974362544452,A,400,500,Failed,0.2389635
7.4.2 Power Test V Current OP4(5),0.277812889215261,A,400,500,Failed,0.1730532
7.4.3 Power Test W Current OP4(5),0.108390054273354,A,400,500,Failed,0.1714699
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(5),0,deg,20,99,Failed,0.0002097
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(5),0,deg,20,99,Failed,0.0001886
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(5),0,deg,20,99,Failed,0.0001773
7.4.7 Power Test AN_CTP_COOLING_F OP4(5),0,deg,20,99,Failed,0.000179
7.4.8 Power Test FSEVBLV_Voltage OP4(5),0,V,9,12,Failed,0.0001758
7.4.9 Power Test FSEVBHV_Voltage OP4(5),-999,V,360,410,Failed,0.0002874
7.4.10 Power Test FTEABHV_UbatHV OP4(5),-999,V,360,410,Failed,0.0002454
7.4.11 Power Test SAEABHV_Voltage OP4(5),-999,V,360,410,Failed,0.0002737
7.8.1 Power Test U Current OP8(5),0.0787671691583403,A,400,500,Failed,0.1789617
7.8.2 Power Test V Current OP8(5),0.278974829427578,A,400,500,Failed,0.1731683
7.8.3 Power Test W Current OP8(5),0.122266793744819,A,400,500,Failed,0.175991
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(5),0,deg,20,99,Failed,0.0001871
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(5),0,deg,20,99,Failed,0.0002009
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(5),0,deg,20,99,Failed,0.0002489
7.8.7 Power Test AN_CTP_COOLING_F OP8(5),0,deg,20,99,Failed,0.0001758
7.8.8 Power Test FSEVBLV_Voltage OP8(5),0,V,14,17,Failed,0.000423
7.8.9 Power Test FSEVBHV_Voltage OP8(5),-999,V,360,410,Failed,0.0002472
7.8.10 Power Test FTEABHV_UbatHV OP8(5),-999,V,360,410,Failed,0.0002383
7.8.11 Power Test SAEABHV_Voltage OP8(5),-999,V,360,410,Failed,0.0001896
7.4.1 Power Test U Current OP4(6),0.0708545122160213,A,400,500,Failed,0.1801357
7.4.2 Power Test V Current OP4(6),0.270504555615031,A,400,500,Failed,0.1732679
7.4.3 Power Test W Current OP4(6),0.118863486918313,A,400,500,Failed,0.1726312
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(6),0,deg,20,99,Failed,0.0002179
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(6),0,deg,20,99,Failed,0.0002496
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(6),0,deg,20,99,Failed,0.0001734
7.4.7 Power Test AN_CTP_COOLING_F OP4(6),0,deg,20,99,Failed,0.0001822
7.4.8 Power Test FSEVBLV_Voltage OP4(6),0,V,9,12,Failed,0.0001995
7.4.9 Power Test FSEVBHV_Voltage OP4(6),-999,V,360,410,Failed,0.0002027
7.4.10 Power Test FTEABHV_UbatHV OP4(6),-999,V,360,410,Failed,0.0002881
7.4.11 Power Test SAEABHV_Voltage OP4(6),-999,V,360,410,Failed,0.0002458
7.8.1 Power Test U Current OP8(6),0.0860849808414717,A,400,500,Failed,0.1793112
7.8.2 Power Test V Current OP8(6),0.277802465849964,A,400,500,Failed,0.1738187
7.8.3 Power Test W Current OP8(6),0.114050995140794,A,400,500,Failed,0.1747583
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(6),0,deg,20,99,Failed,0.0001889
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(6),0,deg,20,99,Failed,0.0001695
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(6),0,deg,20,99,Failed,0.0001882
7.8.7 Power Test AN_CTP_COOLING_F OP8(6),0,deg,20,99,Failed,0.000191
7.8.8 Power Test FSEVBLV_Voltage OP8(6),0,V,14,17,Failed,0.0002097
7.8.9 Power Test FSEVBHV_Voltage OP8(6),-999,V,360,410,Failed,0.0007652
7.8.10 Power Test FTEABHV_UbatHV OP8(6),-999,V,360,410,Failed,0.0002624
7.8.11 Power Test SAEABHV_Voltage OP8(6),-999,V,360,410,Failed,0.0002701
7.4.1 Power Test U Current OP4(7),0.0845405845314866,A,400,500,Failed,0.1789627
7.4.2 Power Test V Current OP4(7),0.275450137183902,A,400,500,Failed,0.1727968
7.4.3 Power Test W Current OP4(7),0.11012563636221,A,400,500,Failed,0.1722082
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(7),0,deg,20,99,Failed,0.0002941
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(7),0,deg,20,99,Failed,0.0001801
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(7),0,deg,20,99,Failed,0.0001705
7.4.7 Power Test AN_CTP_COOLING_F OP4(7),0,deg,20,99,Failed,0.0002104
7.4.8 Power Test FSEVBLV_Voltage OP4(7),0,V,9,12,Failed,0.000196
7.4.9 Power Test FSEVBHV_Voltage OP4(7),-999,V,360,410,Failed,0.0002299
7.4.10 Power Test FTEABHV_UbatHV OP4(7),-999,V,360,410,Failed,0.0002263
