Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,V29102835
Total Test Time,265
DUTResult,Terminated
Date Time,20210317062001
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,3.35E-05
End,,,,,Done,6.43E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,7.56E-05
If,,,,,Done,3.67E-05
End,,,,,Done,7.03E-05
If,,,,,Done,3.14E-05
End,,,,,Done,3.78E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,4.94E-05
7.4.1 Power Test U Current OP4(0),419.059926456807,A,400,500,Passed,0.177
7.4.2 Power Test V Current OP4(0),420.413937314954,A,400,500,Passed,0.1710834
7.4.3 Power Test W Current OP4(0),421.645147733925,A,400,500,Passed,0.1710294
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),29,deg,20,99,Passed,0.0001571
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),79,deg,20,99,Passed,0.0001395
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),30,deg,20,99,Passed,0.0001638
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),27,deg,20,99,Passed,0.0001607
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001988
7.4.9 Power Test FSEVBHV_Voltage OP4(0),377,V,360,410,Passed,0.000221
7.4.10 Power Test FTEABHV_UbatHV OP4(0),387,V,360,410,Passed,0.0001762
7.4.11 Power Test SAEABHV_Voltage OP4(0),377,V,360,410,Passed,0.0002818
7.8.1 Power Test U Current OP8(0),417.606509322059,A,400,500,Passed,0.1796398
7.8.2 Power Test V Current OP8(0),249.665338663163,A,400,500,Failed,0.171451
If,,,,,Done,2.72E-05
End,,,,,Done,6.92E-05
 
