Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,
Total Test Time,294
DUTResult,Failed
Date Time,20210317071421
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,3.04E-05
End,,,,,Done,2.51E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,7.38E-05
If,,,,,Done,3.07E-05
End,,,,,Done,3.5E-05
If,,,,,Done,4.2E-05
End,,,,,Done,6.57E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,6.99E-05
7.4.1 Power Test U Current OP4(0),0.0782133445259811,A,400,500,Failed,0.1781381
If,,,,,Done,2.93E-05
End,,,,,Done,2.33E-05
 
