Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,29102835
Total Test Time,1055
DUTResult,Passed
Date Time,20210317090921
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,5.33E-05
End,,,,,Done,6.46E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,7.1E-05
7.4.1 Power Test U Current OP4(0),424.467773861478,A,400,500,Passed,0.1772158
7.4.2 Power Test V Current OP4(0),424.613946285755,A,400,500,Passed,0.1688416
7.4.3 Power Test W Current OP4(0),426.499332159918,A,400,500,Passed,0.1695333
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),33,deg,20,99,Passed,0.0001942
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),74,deg,20,99,Passed,0.0004075
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),35,deg,20,99,Passed,0.000185
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),39,deg,20,99,Passed,0.0001871
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001716
7.4.9 Power Test FSEVBHV_Voltage OP4(0),397,V,360,410,Passed,0.000172
7.4.10 Power Test FTEABHV_UbatHV OP4(0),396,V,360,410,Passed,0.0001773
7.4.11 Power Test SAEABHV_Voltage OP4(0),397,V,360,410,Passed,0.0001871
7.8.1 Power Test U Current OP8(0),425.216701861458,A,400,500,Passed,0.1785664
7.8.2 Power Test V Current OP8(0),424.35541659716,A,400,500,Passed,0.1702699
7.8.3 Power Test W Current OP8(0),425.598802079025,A,400,500,Passed,0.1689221
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),34,deg,20,99,Passed,0.0001822
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),75,deg,20,99,Passed,0.0001766
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),36,deg,20,99,Passed,0.0001864
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),46,deg,20,99,Passed,0.0001797
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0002055
7.8.9 Power Test FSEVBHV_Voltage OP8(0),397,V,360,410,Passed,0.0001843
7.8.10 Power Test FTEABHV_UbatHV OP8(0),394,V,360,410,Passed,0.0007352
7.8.11 Power Test SAEABHV_Voltage OP8(0),397,V,360,410,Passed,0.0001653
7.4.1 Power Test U Current OP4(1),425.195512862745,A,400,500,Passed,0.1776734
7.4.2 Power Test V Current OP4(1),423.603746948353,A,400,500,Passed,0.1690573
7.4.3 Power Test W Current OP4(1),426.024938161301,A,400,500,Passed,0.1692893
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),35,deg,20,99,Passed,0.0001811
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),76,deg,20,99,Passed,0.00016
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),37,deg,20,99,Passed,0.0001903
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),49,deg,20,99,Passed,0.0001614
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.000422
7.4.9 Power Test FSEVBHV_Voltage OP4(1),395,V,360,410,Passed,0.0001751
7.4.10 Power Test FTEABHV_UbatHV OP4(1),394,V,360,410,Passed,0.0001691
