Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210560058!V29102835!210460167!V29102835
Total Test Time,1055
DUTResult,Passed
Date Time,20210318010939
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,2.86E-05
End,,,,,Done,2.33E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,6.07E-05
7.4.1 Power Test U Current OP4(0),421.100673995933,A,400,500,Passed,0.1776254
7.4.2 Power Test V Current OP4(0),422.38183564981,A,400,500,Passed,0.172016
7.4.3 Power Test W Current OP4(0),423.137523758222,A,400,500,Passed,0.1742339
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),34,deg,20,99,Passed,0.0001794
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),73,deg,20,99,Passed,0.0002179
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),39,deg,20,99,Passed,0.0002006
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),44,deg,20,99,Passed,0.0001607
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001871
7.4.9 Power Test FSEVBHV_Voltage OP4(0),376,V,360,410,Passed,0.000196
7.4.10 Power Test FTEABHV_UbatHV OP4(0),386,V,360,410,Passed,0.0002066
7.4.11 Power Test SAEABHV_Voltage OP4(0),376,V,360,410,Passed,0.0001787
7.8.1 Power Test U Current OP8(0),421.834749568911,A,400,500,Passed,0.1843351
7.8.2 Power Test V Current OP8(0),423.243125916434,A,400,500,Passed,0.1700485
7.8.3 Power Test W Current OP8(0),423.784228373853,A,400,500,Passed,0.1699991
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),35,deg,20,99,Passed,0.0001847
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),75,deg,20,99,Passed,0.0002359
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),40,deg,20,99,Passed,0.0001698
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),49,deg,20,99,Passed,0.0001561
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0003916
7.8.9 Power Test FSEVBHV_Voltage OP8(0),376,V,360,410,Passed,0.0001723
7.8.10 Power Test FTEABHV_UbatHV OP8(0),386,V,360,410,Passed,0.0004209
7.8.11 Power Test SAEABHV_Voltage OP8(0),376,V,360,410,Passed,0.0002179
7.4.1 Power Test U Current OP4(1),421.501735042973,A,400,500,Passed,0.170664
7.4.2 Power Test V Current OP4(1),422.139424801198,A,400,500,Passed,0.1698518
7.4.3 Power Test W Current OP4(1),423.384821772859,A,400,500,Passed,0.1687163
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),36,deg,20,99,Passed,0.0001741
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),75,deg,20,99,Passed,0.0002157
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),42,deg,20,99,Passed,0.0001674
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),52,deg,20,99,Passed,0.0004657
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001783
7.4.9 Power Test FSEVBHV_Voltage OP4(1),381,V,360,410,Passed,0.000202
