Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210560073!V29102835!210350155!V29102835!210560029!V29102835
Total Test Time,1054
DUTResult,Passed
Date Time,20210318072138
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,4.48E-05
End,,,,,Done,3.64E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,6.14E-05
7.4.1 Power Test U Current OP4(0),420.225263213164,A,400,500,Passed,0.1770107
7.4.2 Power Test V Current OP4(0),420.819215624664,A,400,500,Passed,0.1913509
7.4.3 Power Test W Current OP4(0),422.169468582791,A,400,500,Passed,0.1875155
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),23,deg,20,99,Passed,0.0002062
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),70,deg,20,99,Passed,0.0002112
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),23,deg,20,99,Passed,0.0001547
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),31,deg,20,99,Passed,0.000161
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001758
7.4.9 Power Test FSEVBHV_Voltage OP4(0),378,V,360,410,Passed,0.0001903
7.4.10 Power Test FTEABHV_UbatHV OP4(0),385,V,360,410,Passed,0.0002278
7.4.11 Power Test SAEABHV_Voltage OP4(0),378,V,360,410,Passed,0.0001924
7.8.1 Power Test U Current OP8(0),417.730206211835,A,400,500,Passed,0.3585418
7.8.2 Power Test V Current OP8(0),423.468966539515,A,400,500,Passed,0.3833922
7.8.3 Power Test W Current OP8(0),422.304769561005,A,400,500,Passed,0.2043332
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),24,deg,20,99,Passed,0.0002443
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),73,deg,20,99,Passed,0.0001815
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),25,deg,20,99,Passed,0.0001769
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),40,deg,20,99,Passed,0.0002334
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0001582
7.8.9 Power Test FSEVBHV_Voltage OP8(0),385,V,360,410,Passed,0.0001946
7.8.10 Power Test FTEABHV_UbatHV OP8(0),394,V,360,410,Passed,0.0003129
7.8.11 Power Test SAEABHV_Voltage OP8(0),385,V,360,410,Passed,0.0004103
7.4.1 Power Test U Current OP4(1),418.016830916132,A,400,500,Passed,0.2670381
7.4.2 Power Test V Current OP4(1),423.356591995422,A,400,500,Passed,0.3825292
7.4.3 Power Test W Current OP4(1),421.647057877878,A,400,500,Passed,0.2144464
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),24,deg,20,99,Passed,0.000655
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),71,deg,20,99,Passed,0.0001801
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),26,deg,20,99,Passed,0.0002232
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),44,deg,20,99,Passed,0.0001776
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001773
7.4.9 Power Test FSEVBHV_Voltage OP4(1),380,V,360,410,Passed,0.0002521
7.4.10 Power Test FTEABHV_UbatHV OP4(1),389,V,360,410,Passed,0.0001967
7.4.11 Power Test SAEABHV_Voltage OP4(1),380,V,360,410,Passed,0.0004834
7.8.1 Power Test U Current OP8(1),418.42559303339,A,400,500,Passed,0.286968
7.8.2 Power Test V Current OP8(1),423.975293611779,A,400,500,Passed,0.3520761
7.8.3 Power Test W Current OP8(1),420.774593369604,A,400,500,Passed,0.2036093
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),25,deg,20,99,Passed,0.0005025
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),71,deg,20,99,Passed,0.0001857
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),28,deg,20,99,Passed,0.0002807
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),45,deg,20,99,Passed,0.0002172
7.8.8 Power Test FSEVBLV_Voltage OP8(1),15,V,14,17,Passed,0.000166
7.8.9 Power Test FSEVBHV_Voltage OP8(1),384,V,360,410,Passed,0.0004107
