Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,！210570040！V02835！210570040！V02835
Total Test Time,772
DUTResult,Failed
Date Time,20210319212316
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,4.41E-05
End,,,,,Done,2.26E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,0.0001225
7.4.1 Power Test U Current OP4(0),421.218970625004,A,400,500,Passed,0.1780946
7.4.2 Power Test V Current OP4(0),424.344288198447,A,400,500,Passed,0.1707642
7.4.3 Power Test W Current OP4(0),425.063492022243,A,400,500,Passed,0.1695654
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),22,deg,20,99,Passed,0.0001854
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),72,deg,20,99,Passed,0.0001667
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),22,deg,20,99,Passed,0.0001596
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),31,deg,20,99,Passed,0.0002546
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0002383
7.4.9 Power Test FSEVBHV_Voltage OP4(0),388,V,360,410,Passed,0.0001737
7.4.10 Power Test FTEABHV_UbatHV OP4(0),386,V,360,410,Passed,0.0002055
7.4.11 Power Test SAEABHV_Voltage OP4(0),388,V,360,410,Passed,0.0001751
7.8.1 Power Test U Current OP8(0),421.462766901905,A,400,500,Passed,0.1933604
7.8.2 Power Test V Current OP8(0),423.749130436805,A,400,500,Passed,0.1703158
7.8.3 Power Test W Current OP8(0),424.928902865088,A,400,500,Passed,0.170422
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),22,deg,20,99,Passed,0.0001635
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),74,deg,20,99,Passed,0.0001755
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),23,deg,20,99,Passed,0.0001967
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),39,deg,20,99,Passed,0.0001769
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0004583
7.8.9 Power Test FSEVBHV_Voltage OP8(0),397,V,360,410,Passed,0.000291
7.8.10 Power Test FTEABHV_UbatHV OP8(0),395,V,360,410,Passed,0.0001967
7.8.11 Power Test SAEABHV_Voltage OP8(0),397,V,360,410,Passed,0.0001896
7.4.1 Power Test U Current OP4(1),420.975069559059,A,400,500,Passed,0.1996043
7.4.2 Power Test V Current OP4(1),424.371002991845,A,400,500,Passed,0.1702639
7.4.3 Power Test W Current OP4(1),425.864710152494,A,400,500,Passed,0.1707098
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),23,deg,20,99,Passed,0.0001889
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),74,deg,20,99,Passed,0.0001868
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),25,deg,20,99,Passed,0.0001642
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),43,deg,20,99,Passed,0.0001804
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001741
7.4.9 Power Test FSEVBHV_Voltage OP4(1),388,V,360,410,Passed,0.0002828
7.4.10 Power Test FTEABHV_UbatHV OP4(1),390,V,360,410,Passed,0.0002034
7.4.11 Power Test SAEABHV_Voltage OP4(1),388,V,360,410,Passed,0.0001762
7.8.1 Power Test U Current OP8(1),421.29540682732,A,400,500,Passed,0.1732052
7.8.2 Power Test V Current OP8(1),423.794824226554,A,400,500,Passed,0.1710206
7.8.3 Power Test W Current OP8(1),425.04697229622,A,400,500,Passed,0.1693285
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),24,deg,20,99,Passed,0.0002069
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),74,deg,20,99,Passed,0.0001769
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),26,deg,20,99,Passed,0.0001801
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),45,deg,20,99,Passed,0.0001762
7.8.8 Power Test FSEVBLV_Voltage OP8(1),15,V,14,17,Passed,0.000161
7.8.9 Power Test FSEVBHV_Voltage OP8(1),387,V,360,410,Passed,0.0001963
7.8.10 Power Test FTEABHV_UbatHV OP8(1),385,V,360,410,Passed,0.0002539
7.8.11 Power Test SAEABHV_Voltage OP8(1),387,V,360,410,Passed,0.0002175
7.4.1 Power Test U Current OP4(2),421.237879393615,A,400,500,Passed,0.1778348
7.4.2 Power Test V Current OP4(2),423.35821722102,A,400,500,Passed,0.1760512
7.4.3 Power Test W Current OP4(2),424.382416555285,A,400,500,Passed,0.1709316
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(2),25,deg,20,99,Passed,0.0001748
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(2),75,deg,20,99,Passed,0.0001857
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(2),28,deg,20,99,Passed,0.0001826
7.4.7 Power Test AN_CTP_COOLING_F OP4(2),47,deg,20,99,Passed,0.0001769
7.4.8 Power Test FSEVBLV_Voltage OP4(2),9,V,9,12,Passed,0.0002112
7.4.9 Power Test FSEVBHV_Voltage OP4(2),395,V,360,410,Passed,0.0002027
7.4.10 Power Test FTEABHV_UbatHV OP4(2),392,V,360,410,Passed,0.0002013
7.4.11 Power Test SAEABHV_Voltage OP4(2),395,V,360,410,Passed,0.0001854
7.8.1 Power Test U Current OP8(2),421.174278243101,A,400,500,Passed,0.1771423
7.8.2 Power Test V Current OP8(2),424.533657602317,A,400,500,Passed,0.1699542
7.8.3 Power Test W Current OP8(2),425.759746494994,A,400,500,Passed,0.172457
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(2),26,deg,20,99,Passed,0.0001695
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(2),75,deg,20,99,Passed,0.0003729
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(2),30,deg,20,99,Passed,0.0002903
7.8.7 Power Test AN_CTP_COOLING_F OP8(2),48,deg,20,99,Passed,0.000209
7.8.8 Power Test FSEVBLV_Voltage OP8(2),15,V,14,17,Passed,0.0002412
7.8.9 Power Test FSEVBHV_Voltage OP8(2),397,V,360,410,Passed,0.0109303
7.8.10 Power Test FTEABHV_UbatHV OP8(2),395,V,360,410,Passed,0.0001984
7.8.11 Power Test SAEABHV_Voltage OP8(2),397,V,360,410,Passed,0.0002518
7.4.1 Power Test U Current OP4(3),421.048953661965,A,400,500,Passed,0.1772613
7.4.2 Power Test V Current OP4(3),423.487883306249,A,400,500,Passed,0.1694002
7.4.3 Power Test W Current OP4(3),424.521666241768,A,400,500,Passed,0.1721205
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(3),27,deg,20,99,Passed,0.0002143
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(3),76,deg,20,99,Passed,0.0001603
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(3),32,deg,20,99,Passed,0.0001829
7.4.7 Power Test AN_CTP_COOLING_F OP4(3),50,deg,20,99,Passed,0.000173
7.4.8 Power Test FSEVBLV_Voltage OP4(3),9,V,9,12,Passed,0.0003012
7.4.9 Power Test FSEVBHV_Voltage OP4(3),390,V,360,410,Passed,0.0002458
7.4.10 Power Test FTEABHV_UbatHV OP4(3),392,V,360,410,Passed,0.0002157
7.4.11 Power Test SAEABHV_Voltage OP4(3),390,V,360,410,Passed,0.0001875
7.8.1 Power Test U Current OP8(3),421.16047250545,A,400,500,Passed,0.1888957
7.8.2 Power Test V Current OP8(3),424.291192656156,A,400,500,Passed,0.1701138
7.8.3 Power Test W Current OP8(3),425.4522995661,A,400,500,Passed,0.1701886
