Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,！210570120！V02835
Total Test Time,1055
DUTResult,Passed
Date Time,20210319174444
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,2.79E-05
End,,,,,Done,2.19E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,6.6E-05
7.4.1 Power Test U Current OP4(0),419.880969437426,A,400,500,Passed,0.1821564
7.4.2 Power Test V Current OP4(0),420.420249715717,A,400,500,Passed,0.1712653
7.4.3 Power Test W Current OP4(0),424.982874155664,A,400,500,Passed,0.1711858
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),22,deg,20,99,Passed,0.0002419
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),70,deg,20,99,Passed,0.0001776
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),23,deg,20,99,Passed,0.0001518
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),31,deg,20,99,Passed,0.0001621
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0002044
7.4.9 Power Test FSEVBHV_Voltage OP4(0),390,V,360,410,Passed,0.0001794
7.4.10 Power Test FTEABHV_UbatHV OP4(0),388,V,360,410,Passed,0.0002592
7.4.11 Power Test SAEABHV_Voltage OP4(0),390,V,360,410,Passed,0.0002867
7.8.1 Power Test U Current OP8(0),421.61374930602,A,400,500,Passed,0.1794866
7.8.2 Power Test V Current OP8(0),419.967785011301,A,400,500,Passed,0.1693366
7.8.3 Power Test W Current OP8(0),423.900860466925,A,400,500,Passed,0.1704333
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),23,deg,20,99,Passed,0.0002048
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),72,deg,20,99,Passed,0.0001893
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),24,deg,20,99,Passed,0.0002006
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),38,deg,20,99,Passed,0.0001847
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0002034
7.8.9 Power Test FSEVBHV_Voltage OP8(0),392,V,360,410,Passed,0.0001984
7.8.10 Power Test FTEABHV_UbatHV OP8(0),389,V,360,410,Passed,0.0002641
7.8.11 Power Test SAEABHV_Voltage OP8(0),392,V,360,410,Passed,0.0002638
