Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,！210130033！V02835！210130033！V02835！210130033！V02835！210130033！V02835
Total Test Time,1055
DUTResult,Passed
Date Time,20210320022352
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,3.35E-05
End,,,,,Done,2.58E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,4.87E-05
7.4.1 Power Test U Current OP4(0),419.75576593649,A,400,500,Passed,0.1766501
7.4.2 Power Test V Current OP4(0),421.661024625939,A,400,500,Passed,0.1724852
7.4.3 Power Test W Current OP4(0),421.749876914201,A,400,500,Passed,0.1687098
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),24,deg,20,99,Passed,0.0001893
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),70,deg,20,99,Passed,0.0001589
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),25,deg,20,99,Passed,0.0003884
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),31,deg,20,99,Passed,0.0001988
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001709
7.4.9 Power Test FSEVBHV_Voltage OP4(0),378,V,360,410,Passed,0.000178
7.4.10 Power Test FTEABHV_UbatHV OP4(0),388,V,360,410,Passed,0.0001723
7.4.11 Power Test SAEABHV_Voltage OP4(0),378,V,360,410,Passed,0.0002853
7.8.1 Power Test U Current OP8(0),419.612964216738,A,400,500,Passed,0.1719097
7.8.2 Power Test V Current OP8(0),420.825757858026,A,400,500,Passed,0.1697833
7.8.3 Power Test W Current OP8(0),421.16477179694,A,400,500,Passed,0.1699231
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),25,deg,20,99,Passed,0.0001999
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),71,deg,20,99,Passed,0.0003764
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),26,deg,20,99,Passed,0.0001592
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),38,deg,20,99,Passed,0.000191
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.000203
7.8.9 Power Test FSEVBHV_Voltage OP8(0),378,V,360,410,Passed,0.0002486
7.8.10 Power Test FTEABHV_UbatHV OP8(0),388,V,360,410,Passed,0.0002892
7.8.11 Power Test SAEABHV_Voltage OP8(0),378,V,360,410,Passed,0.0001804
7.4.1 Power Test U Current OP4(1),418.594531157715,A,400,500,Passed,0.1777267
7.4.2 Power Test V Current OP4(1),421.728204091207,A,400,500,Passed,0.1700668
7.4.3 Power Test W Current OP4(1),420.537811337113,A,400,500,Passed,0.1698475
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),25,deg,20,99,Passed,0.0001737
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),72,deg,20,99,Passed,0.0002253
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),27,deg,20,99,Passed,0.0006356
