Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,！210560164！V02835！210560164！V02835！210560164！V02835
Total Test Time,1056
DUTResult,Passed
Date Time,20210320060813
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,2.97E-05
End,,,,,Done,1.77E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,5.12E-05
7.4.1 Power Test U Current OP4(0),417.856122104712,A,400,500,Passed,0.1783079
7.4.2 Power Test V Current OP4(0),418.507883300018,A,400,500,Passed,0.1702056
7.4.3 Power Test W Current OP4(0),421.504985835422,A,400,500,Passed,0.1683585
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),24,deg,20,99,Passed,0.0001762
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),68,deg,20,99,Passed,0.0001893
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),25,deg,20,99,Passed,0.0001974
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),31,deg,20,99,Passed,0.0006423
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001578
7.4.9 Power Test FSEVBHV_Voltage OP4(0),378,V,360,410,Passed,0.0002055
7.4.10 Power Test FTEABHV_UbatHV OP4(0),387,V,360,410,Passed,0.0001999
7.4.11 Power Test SAEABHV_Voltage OP4(0),378,V,360,410,Passed,0.0001794
7.8.1 Power Test U Current OP8(0),417.870161061231,A,400,500,Passed,0.1769877
7.8.2 Power Test V Current OP8(0),418.72633759315,A,400,500,Passed,0.1702144
7.8.3 Power Test W Current OP8(0),420.149448082791,A,400,500,Passed,0.1693016
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),25,deg,20,99,Passed,0.0001967
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),66,deg,20,99,Passed,0.0001801
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),26,deg,20,99,Passed,0.0004838
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),38,deg,20,99,Passed,0.0001698
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0001935
7.8.9 Power Test FSEVBHV_Voltage OP8(0),378,V,360,410,Passed,0.0002108
7.8.10 Power Test FTEABHV_UbatHV OP8(0),387,V,360,410,Passed,0.0002362
7.8.11 Power Test SAEABHV_Voltage OP8(0),378,V,360,410,Passed,0.0002299
7.4.1 Power Test U Current OP4(1),417.4016417869,A,400,500,Passed,0.1769919
7.4.2 Power Test V Current OP4(1),417.890788386082,A,400,500,Passed,0.170916
7.4.3 Power Test W Current OP4(1),420.699398865544,A,400,500,Passed,0.1692812
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),26,deg,20,99,Passed,0.0001946
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),67,deg,20,99,Passed,0.0007927
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),27,deg,20,99,Passed,0.0001614
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),40,deg,20,99,Passed,0.0001691
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001921
7.4.9 Power Test FSEVBHV_Voltage OP4(1),380,V,360,410,Passed,0.0002984
7.4.10 Power Test FTEABHV_UbatHV OP4(1),389,V,360,410,Passed,0.0002094
7.4.11 Power Test SAEABHV_Voltage OP4(1),380,V,360,410,Passed,0.0002426
