Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,！210590108！V02835！210590108！V02835
Total Test Time,1054
DUTResult,Passed
Date Time,20210320095812
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,2.47E-05
End,,,,,Done,2.4E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,0.0001264
7.4.1 Power Test U Current OP4(0),420.841360335787,A,400,500,Passed,0.2029959
7.4.2 Power Test V Current OP4(0),419.89025125475,A,400,500,Passed,0.2016707
7.4.3 Power Test W Current OP4(0),419.149792475745,A,400,500,Passed,0.2017512
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),24,deg,20,99,Passed,0.000172
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),72,deg,20,99,Passed,0.0002387
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),25,deg,20,99,Passed,0.0001667
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),32,deg,20,99,Passed,0.00019
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001762
7.4.9 Power Test FSEVBHV_Voltage OP4(0),382,V,360,410,Passed,0.0003287
7.4.10 Power Test FTEABHV_UbatHV OP4(0),391,V,360,410,Passed,0.0002126
7.4.11 Power Test SAEABHV_Voltage OP4(0),382,V,360,410,Passed,0.0002034
7.8.1 Power Test U Current OP8(0),418.682623317588,A,400,500,Passed,0.2032462
7.8.2 Power Test V Current OP8(0),420.447107990066,A,400,500,Passed,0.1991128
7.8.3 Power Test W Current OP8(0),419.75145584335,A,400,500,Passed,0.1999362
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),25,deg,20,99,Passed,0.0001815
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),74,deg,20,99,Passed,0.0005215
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),26,deg,20,99,Passed,0.0001836
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),40,deg,20,99,Passed,0.0001783
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0002553
7.8.9 Power Test FSEVBHV_Voltage OP8(0),376,V,360,410,Passed,0.0002899
7.8.10 Power Test FTEABHV_UbatHV OP8(0),386,V,360,410,Passed,0.0002037
7.8.11 Power Test SAEABHV_Voltage OP8(0),376,V,360,410,Passed,0.0002154
7.4.1 Power Test U Current OP4(1),419.134878001501,A,400,500,Passed,0.2087349
7.4.2 Power Test V Current OP4(1),420.917950641516,A,400,500,Passed,0.2006541
7.4.3 Power Test W Current OP4(1),420.089000955778,A,400,500,Passed,0.2015019
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),25,deg,20,99,Passed,0.0002624
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),73,deg,20,99,Passed,0.000214
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),27,deg,20,99,Passed,0.0002542
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),44,deg,20,99,Passed,0.0001903
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0003358
7.4.9 Power Test FSEVBHV_Voltage OP4(1),373,V,360,410,Passed,0.0002037
7.4.10 Power Test FTEABHV_UbatHV OP4(1),385,V,360,410,Passed,0.000881
7.4.11 Power Test SAEABHV_Voltage OP4(1),373,V,360,410,Passed,0.0002073
7.8.1 Power Test U Current OP8(1),418.391365198752,A,400,500,Passed,0.1984963
7.8.2 Power Test V Current OP8(1),421.071074777753,A,400,500,Passed,0.1978225
7.8.3 Power Test W Current OP8(1),420.232748212104,A,400,500,Passed,0.2033409
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),26,deg,20,99,Passed,0.0001748
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),73,deg,20,99,Passed,0.0001737
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),29,deg,20,99,Passed,0.0002885
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),46,deg,20,99,Passed,0.0003224
7.8.8 Power Test FSEVBLV_Voltage OP8(1),15,V,14,17,Passed,0.0002034
7.8.9 Power Test FSEVBHV_Voltage OP8(1),378,V,360,410,Passed,0.0002037
7.8.10 Power Test FTEABHV_UbatHV OP8(1),388,V,360,410,Passed,0.0002126
