Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210470008!V29102835
Total Test Time,728
DUTResult,Failed
Date Time,20210322114734
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,8.05E-05
End,,,,,Done,2.33E-05
7.0.0 Error Code Check,62 FD 41 EF FF FF FF FF FF,,62 FD 41 EF FF FF FF FF FF,62 FD 41 EF FF FF FF FF FF,Passed,0.0002436
7.4.1 Power Test U Current OP4(0),424.772959674389,A,400,500,Passed,1.8715139
7.4.2 Power Test V Current OP4(0),425.908649225599,A,400,500,Passed,0.1720496
7.4.3 Power Test W Current OP4(0),426.441100706366,A,400,500,Passed,0.1698391
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),42,deg,20,99,Passed,0.0006854
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),73,deg,20,99,Passed,0.0003492
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),46,deg,20,99,Passed,0.0004403
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),46,deg,20,99,Passed,0.0003866
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0005674
7.4.9 Power Test FSEVBHV_Voltage OP4(0),394,V,360,410,Passed,0.0007323
7.4.10 Power Test FTEABHV_UbatHV OP4(0),393,V,360,410,Passed,0.0003542
7.4.11 Power Test SAEABHV_Voltage OP4(0),394,V,360,410,Passed,0.0003796
7.8.1 Power Test U Current OP8(0),425.383722748449,A,400,500,Passed,0.2056915
7.8.2 Power Test V Current OP8(0),425.662636001163,A,400,500,Passed,0.1829838
7.8.3 Power Test W Current OP8(0),425.787313721944,A,400,500,Passed,0.1692547
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),42,deg,20,99,Passed,0.0003344
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),74,deg,20,99,Passed,0.0003898
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),47,deg,20,99,Passed,0.0003609
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),49,deg,20,99,Passed,0.0003167
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0003683
7.8.9 Power Test FSEVBHV_Voltage OP8(0),398,V,360,410,Passed,0.0004029
7.8.10 Power Test FTEABHV_UbatHV OP8(0),397,V,360,410,Passed,0.0003404
7.8.11 Power Test SAEABHV_Voltage OP8(0),398,V,360,410,Passed,0.0003856
7.4.1 Power Test U Current OP4(1),426.003404068117,A,400,500,Passed,0.2213312
7.4.2 Power Test V Current OP4(1),425.901873197139,A,400,500,Passed,0.2066011
7.4.3 Power Test W Current OP4(1),424.258711734023,A,400,500,Passed,0.2059253
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),43,deg,20,99,Passed,0.0002669
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),74,deg,20,99,Passed,0.0002076
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),48,deg,20,99,Passed,0.0008121
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),51,deg,20,99,Passed,0.0001879
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001713
7.4.9 Power Test FSEVBHV_Voltage OP4(1),395,V,360,410,Passed,0.0001864
7.4.10 Power Test FTEABHV_UbatHV OP4(1),393,V,360,410,Passed,0.0002578
7.4.11 Power Test SAEABHV_Voltage OP4(1),395,V,360,410,Passed,0.0012161
7.8.1 Power Test U Current OP8(1),427.013802164669,A,400,500,Passed,0.2126396
7.8.2 Power Test V Current OP8(1),426.130084009982,A,400,500,Passed,0.2224781
