Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210690!210690001!V29102835
Total Test Time,1055
DUTResult,Passed
Date Time,20210405090824
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,2.82E-05
End,,,,,Done,1.77E-05
7.0.0 Error Code Check,FF,,FF,FF,Passed,6.21E-05
7.0.1 Enter Torque mode,True,,True,True,Passed,7.34E-05
7.4.1 Power Test U Current OP4(0),417.849027777037,A,400,500,Passed,0.1826856
7.4.2 Power Test V Current OP4(0),418.955447577342,A,400,500,Passed,0.1762464
7.4.3 Power Test W Current OP4(0),421.817830286688,A,400,500,Passed,0.1753566
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),22,deg,20,99,Passed,0.0001829
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),72,deg,20,99,Passed,0.0005219
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),22,deg,20,99,Passed,0.0004862
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),29,deg,20,99,Passed,0.0001589
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001921
7.4.9 Power Test FSEVBHV_Voltage OP4(0),391,V,360,410,Passed,0.0001917
7.4.10 Power Test FTEABHV_UbatHV OP4(0),390,V,360,410,Passed,0.0001893
7.4.11 Power Test SAEABHV_Voltage OP4(0),391,V,360,410,Passed,0.0001847
7.8.1 Power Test U Current OP8(0),415.870019043087,A,400,500,Passed,0.1805896
7.8.2 Power Test V Current OP8(0),420.071256165841,A,400,500,Passed,0.1765911
7.8.3 Power Test W Current OP8(0),423.067202000381,A,400,500,Passed,0.1788234
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),22,deg,20,99,Passed,0.0004587
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),74,deg,20,99,Passed,0.000148
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),24,deg,20,99,Passed,0.0001684
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),37,deg,20,99,Passed,0.0001656
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0001822
7.8.9 Power Test FSEVBHV_Voltage OP8(0),390,V,360,410,Passed,0.0002306
7.8.10 Power Test FTEABHV_UbatHV OP8(0),389,V,360,410,Passed,0.0002673
7.8.11 Power Test SAEABHV_Voltage OP8(0),390,V,360,410,Passed,0.0002172
7.4.1 Power Test U Current OP4(1),414.343583703762,A,400,500,Passed,0.1804424
7.4.2 Power Test V Current OP4(1),418.03320995334,A,400,500,Passed,0.173959
7.4.3 Power Test W Current OP4(1),422.561302666532,A,400,500,Passed,0.1741882
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),23,deg,20,99,Passed,0.0001603
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),74,deg,20,99,Passed,0.0001561
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),25,deg,20,99,Passed,0.0001808
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),41,deg,20,99,Passed,0.0001804
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.000178
7.4.9 Power Test FSEVBHV_Voltage OP4(1),390,V,360,410,Passed,0.0002772
7.4.10 Power Test FTEABHV_UbatHV OP4(1),388,V,360,410,Passed,0.0002083
7.4.11 Power Test SAEABHV_Voltage OP4(1),390,V,360,410,Passed,0.0002119
7.8.1 Power Test U Current OP8(1),415.401996644293,A,400,500,Passed,0.1789915
7.8.2 Power Test V Current OP8(1),419.797032306988,A,400,500,Passed,0.1749572
7.8.3 Power Test W Current OP8(1),423.29951446028,A,400,500,Passed,0.1769205
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),24,deg,20,99,Passed,0.0001568
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),75,deg,20,99,Passed,0.0001638
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),27,deg,20,99,Passed,0.0001762
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),43,deg,20,99,Passed,0.0002606
7.8.8 Power Test FSEVBLV_Voltage OP8(1),15,V,14,17,Passed,0.0001621
7.8.9 Power Test FSEVBHV_Voltage OP8(1),391,V,360,410,Passed,0.0001981
7.8.10 Power Test FTEABHV_UbatHV OP8(1),388,V,360,410,Passed,0.0001797
7.8.11 Power Test SAEABHV_Voltage OP8(1),391,V,360,410,Passed,0.000197
7.4.1 Power Test U Current OP4(2),416.55828020741,A,400,500,Passed,0.2060872
7.4.2 Power Test V Current OP4(2),418.801588160282,A,400,500,Passed,0.1788251
7.4.3 Power Test W Current OP4(2),422.084146893478,A,400,500,Passed,0.1802965
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(2),25,deg,20,99,Passed,0.0004929
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(2),75,deg,20,99,Passed,0.0001688
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(2),28,deg,20,99,Passed,0.000179
7.4.7 Power Test AN_CTP_COOLING_F OP4(2),45,deg,20,99,Passed,0.0001818
7.4.8 Power Test FSEVBLV_Voltage OP4(2),9,V,9,12,Passed,0.000196
7.4.9 Power Test FSEVBHV_Voltage OP4(2),393,V,360,410,Passed,0.0002263
7.4.10 Power Test FTEABHV_UbatHV OP4(2),392,V,360,410,Passed,0.000203
7.4.11 Power Test SAEABHV_Voltage OP4(2),393,V,360,410,Passed,0.0003263
7.8.1 Power Test U Current OP8(2),415.485074068687,A,400,500,Passed,0.1926608
7.8.2 Power Test V Current OP8(2),418.829586447252,A,400,500,Passed,0.1727422
7.8.3 Power Test W Current OP8(2),423.329060189965,A,400,500,Passed,0.1742927
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(2),26,deg,20,99,Passed,0.000447
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(2),76,deg,20,99,Passed,0.0002761
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(2),30,deg,20,99,Passed,0.0001766
7.8.7 Power Test AN_CTP_COOLING_F OP8(2),46,deg,20,99,Passed,0.0001571
7.8.8 Power Test FSEVBLV_Voltage OP8(2),15,V,14,17,Passed,0.0001751
7.8.9 Power Test FSEVBHV_Voltage OP8(2),390,V,360,410,Passed,0.0002585
7.8.10 Power Test FTEABHV_UbatHV OP8(2),390,V,360,410,Passed,0.0002221
7.8.11 Power Test SAEABHV_Voltage OP8(2),390,V,360,410,Passed,0.0001907
7.4.1 Power Test U Current OP4(3),418.715214169995,A,400,500,Passed,0.2158527
7.4.2 Power Test V Current OP4(3),417.868892711882,A,400,500,Passed,0.1754262
7.4.3 Power Test W Current OP4(3),421.747248472848,A,400,500,Passed,0.1788202
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(3),27,deg,20,99,Passed,0.00047
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(3),76,deg,20,99,Passed,0.0001864
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(3),32,deg,20,99,Passed,0.0001879
7.4.7 Power Test AN_CTP_COOLING_F OP4(3),47,deg,20,99,Passed,0.0001833
7.4.8 Power Test FSEVBLV_Voltage OP4(3),9,V,9,12,Passed,0.0001818
7.4.9 Power Test FSEVBHV_Voltage OP4(3),390,V,360,410,Passed,0.00031
7.4.10 Power Test FTEABHV_UbatHV OP4(3),389,V,360,410,Passed,0.0001946
7.4.11 Power Test SAEABHV_Voltage OP4(3),390,V,360,410,Passed,0.0005886
7.8.1 Power Test U Current OP8(3),414.504883020037,A,400,500,Passed,0.2223106
7.8.2 Power Test V Current OP8(3),418.062635613866,A,400,500,Passed,0.1847583
7.8.3 Power Test W Current OP8(3),424.085492117221,A,400,500,Passed,0.1775017
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(3),28,deg,20,99,Passed,0.0001631
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(3),76,deg,20,99,Passed,0.0002571
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(3),34,deg,20,99,Passed,0.0001882
7.8.7 Power Test AN_CTP_COOLING_F OP8(3),48,deg,20,99,Passed,0.0001564
7.8.8 Power Test FSEVBLV_Voltage OP8(3),15,V,14,17,Passed,0.0003273
7.8.9 Power Test FSEVBHV_Voltage OP8(3),393,V,360,410,Passed,0.0002059
7.8.10 Power Test FTEABHV_UbatHV OP8(3),391,V,360,410,Passed,0.0001914
7.8.11 Power Test SAEABHV_Voltage OP8(3),393,V,360,410,Passed,0.0002652
7.4.1 Power Test U Current OP4(4),411.778146902938,A,400,500,Passed,0.1820041
7.4.2 Power Test V Current OP4(4),418.857290202298,A,400,500,Passed,0.1755957
7.4.3 Power Test W Current OP4(4),423.172088958491,A,400,500,Passed,0.1757482
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(4),29,deg,20,99,Passed,0.0002952
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(4),76,deg,20,99,Passed,0.000173
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(4),36,deg,20,99,Passed,0.0001603
7.4.7 Power Test AN_CTP_COOLING_F OP4(4),49,deg,20,99,Passed,0.0001677
7.4.8 Power Test FSEVBLV_Voltage OP4(4),9,V,9,12,Passed,0.0001462
7.4.9 Power Test FSEVBHV_Voltage OP4(4),390,V,360,410,Passed,0.000209
7.4.10 Power Test FTEABHV_UbatHV OP4(4),392,V,360,410,Passed,0.0001917
7.4.11 Power Test SAEABHV_Voltage OP4(4),390,V,360,410,Passed,0.0002242
7.8.1 Power Test U Current OP8(4),414.744195546436,A,400,500,Passed,0.2625079
7.8.2 Power Test V Current OP8(4),418.791795189476,A,400,500,Passed,0.1762609
7.8.3 Power Test W Current OP8(4),423.163393766081,A,400,500,Passed,0.176442
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(4),31,deg,20,99,Passed,0.0003545
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(4),76,deg,20,99,Passed,0.0002016
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(4),38,deg,20,99,Passed,0.0001744
7.8.7 Power Test AN_CTP_COOLING_F OP8(4),50,deg,20,99,Passed,0.0002246
7.8.8 Power Test FSEVBLV_Voltage OP8(4),15,V,14,17,Passed,0.0001787
7.8.9 Power Test FSEVBHV_Voltage OP8(4),391,V,360,410,Passed,0.0001811
7.8.10 Power Test FTEABHV_UbatHV OP8(4),392,V,360,410,Passed,0.0002002
7.8.11 Power Test SAEABHV_Voltage OP8(4),391,V,360,410,Passed,0.0002186
7.4.1 Power Test U Current OP4(5),416.435572647104,A,400,500,Passed,0.1847177
7.4.2 Power Test V Current OP4(5),418.892122790861,A,400,500,Passed,0.1868452
7.4.3 Power Test W Current OP4(5),423.432728265643,A,400,500,Passed,0.1864946
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(5),32,deg,20,99,Passed,0.000166
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(5),76,deg,20,99,Passed,0.0001624
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(5),40,deg,20,99,Passed,0.000214
7.4.7 Power Test AN_CTP_COOLING_F OP4(5),50,deg,20,99,Passed,0.0001688
7.4.8 Power Test FSEVBLV_Voltage OP4(5),9,V,9,12,Passed,0.0001794
7.4.9 Power Test FSEVBHV_Voltage OP4(5),390,V,360,410,Passed,0.0001889
7.4.10 Power Test FTEABHV_UbatHV OP4(5),389,V,360,410,Passed,0.000202
7.4.11 Power Test SAEABHV_Voltage OP4(5),390,V,360,410,Passed,0.0006208
7.8.1 Power Test U Current OP8(5),415.465777274898,A,400,500,Passed,0.1809176
7.8.2 Power Test V Current OP8(5),418.957136363372,A,400,500,Passed,0.1765395
7.8.3 Power Test W Current OP8(5),421.537261219103,A,400,500,Passed,0.1740201
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(5),33,deg,20,99,Passed,0.0001843
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(5),76,deg,20,99,Passed,0.000178
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(5),42,deg,20,99,Passed,0.0001808
7.8.7 Power Test AN_CTP_COOLING_F OP8(5),51,deg,20,99,Passed,0.0002874
7.8.8 Power Test FSEVBLV_Voltage OP8(5),15,V,14,17,Passed,0.000161
7.8.9 Power Test FSEVBHV_Voltage OP8(5),391,V,360,410,Passed,0.0001755
7.8.10 Power Test FTEABHV_UbatHV OP8(5),390,V,360,410,Passed,0.0002087
7.8.11 Power Test SAEABHV_Voltage OP8(5),391,V,360,410,Passed,0.0002366
7.4.1 Power Test U Current OP4(6),414.744506894579,A,400,500,Passed,0.2040911
7.4.2 Power Test V Current OP4(6),418.646995367174,A,400,500,Passed,0.1743849
7.4.3 Power Test W Current OP4(6),425.456321911918,A,400,500,Passed,0.1910584
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(6),34,deg,20,99,Passed,0.0002376
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(6),77,deg,20,99,Passed,0.0001667
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(6),43,deg,20,99,Passed,0.0001557
7.4.7 Power Test AN_CTP_COOLING_F OP4(6),52,deg,20,99,Passed,0.0004156
7.4.8 Power Test FSEVBLV_Voltage OP4(6),9,V,9,12,Passed,0.0005314
7.4.9 Power Test FSEVBHV_Voltage OP4(6),391,V,360,410,Passed,0.0002059
7.4.10 Power Test FTEABHV_UbatHV OP4(6),389,V,360,410,Passed,0.0002571
7.4.11 Power Test SAEABHV_Voltage OP4(6),391,V,360,410,Passed,0.0003076
7.8.1 Power Test U Current OP8(6),413.387599825946,A,400,500,Passed,0.2620891
7.8.2 Power Test V Current OP8(6),420.185978861666,A,400,500,Passed,0.1751963
7.8.3 Power Test W Current OP8(6),423.72329201498,A,400,500,Passed,0.1749015
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(6),36,deg,20,99,Passed,0.0002232
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(6),76,deg,20,99,Passed,0.0001861
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(6),45,deg,20,99,Passed,0.0001667
7.8.7 Power Test AN_CTP_COOLING_F OP8(6),52,deg,20,99,Passed,0.0001684
7.8.8 Power Test FSEVBLV_Voltage OP8(6),15,V,14,17,Passed,0.0002726
7.8.9 Power Test FSEVBHV_Voltage OP8(6),391,V,360,410,Passed,0.0002062
7.8.10 Power Test FTEABHV_UbatHV OP8(6),389,V,360,410,Passed,0.000227
7.8.11 Power Test SAEABHV_Voltage OP8(6),391,V,360,410,Passed,0.0002101
7.4.1 Power Test U Current OP4(7),416.398352242924,A,400,500,Passed,0.181424
7.4.2 Power Test V Current OP4(7),418.801182417169,A,400,500,Passed,0.1895874
7.4.3 Power Test W Current OP4(7),422.512905850445,A,400,500,Passed,0.1856312
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(7),37,deg,20,99,Passed,0.000185
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(7),73,deg,20,99,Passed,0.0001833
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(7),47,deg,20,99,Passed,0.0001829
7.4.7 Power Test AN_CTP_COOLING_F OP4(7),52,deg,20,99,Passed,0.0001773
7.4.8 Power Test FSEVBLV_Voltage OP4(7),9,V,9,12,Passed,0.0001815
7.4.9 Power Test FSEVBHV_Voltage OP4(7),390,V,360,410,Passed,0.0001879
7.4.10 Power Test FTEABHV_UbatHV OP4(7),389,V,360,410,Passed,0.0001903
7.4.11 Power Test SAEABHV_Voltage OP4(7),390,V,360,410,Passed,0.0002189
7.8.1 Power Test U Current OP8(7),416.475262820203,A,400,500,Passed,0.1769198
7.8.2 Power Test V Current OP8(7),419.771105669092,A,400,500,Passed,0.1762609
7.8.3 Power Test W Current OP8(7),421.090635493672,A,400,500,Passed,0.1747549
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(7),38,deg,20,99,Passed,0.0001617
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(7),71,deg,20,99,Passed,0.000149
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(7),49,deg,20,99,Passed,0.0001741
7.8.7 Power Test AN_CTP_COOLING_F OP8(7),51,deg,20,99,Passed,0.0001815
7.8.8 Power Test FSEVBLV_Voltage OP8(7),15,V,14,17,Passed,0.0001737
7.8.9 Power Test FSEVBHV_Voltage OP8(7),390,V,360,410,Passed,0.0005102
7.8.10 Power Test FTEABHV_UbatHV OP8(7),389,V,360,410,Passed,0.000208
7.8.11 Power Test SAEABHV_Voltage OP8(7),390,V,360,410,Passed,0.0001974
7.4.1 Power Test U Current OP4(8),416.187338877105,A,400,500,Passed,0.2121295
7.4.2 Power Test V Current OP4(8),418.46503837539,A,400,500,Passed,0.1760713
7.4.3 Power Test W Current OP4(8),424.875455802576,A,400,500,Passed,0.1739449
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(8),39,deg,20,99,Passed,0.0002408
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(8),71,deg,20,99,Passed,0.0001744
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(8),50,deg,20,99,Passed,0.0002712
7.4.7 Power Test AN_CTP_COOLING_F OP4(8),50,deg,20,99,Passed,0.0002253
7.4.8 Power Test FSEVBLV_Voltage OP4(8),9,V,9,12,Passed,0.0003425
7.4.9 Power Test FSEVBHV_Voltage OP4(8),390,V,360,410,Passed,0.0002556
7.4.10 Power Test FTEABHV_UbatHV OP4(8),389,V,360,410,Passed,0.0002157
7.4.11 Power Test SAEABHV_Voltage OP4(8),390,V,360,410,Passed,0.000595
7.8.1 Power Test U Current OP8(8),417.518704500279,A,400,500,Passed,0.1792796
7.8.2 Power Test V Current OP8(8),420.488717186648,A,400,500,Passed,0.1752048
7.8.3 Power Test W Current OP8(8),422.054544785925,A,400,500,Passed,0.1763481
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(8),40,deg,20,99,Passed,0.000179
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(8),71,deg,20,99,Passed,0.0001592
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(8),52,deg,20,99,Passed,0.0001734
7.8.7 Power Test AN_CTP_COOLING_F OP8(8),50,deg,20,99,Passed,0.0005078
7.8.8 Power Test FSEVBLV_Voltage OP8(8),15,V,14,17,Passed,0.000191
7.8.9 Power Test FSEVBHV_Voltage OP8(8),391,V,360,410,Passed,0.0002327
7.8.10 Power Test FTEABHV_UbatHV OP8(8),389,V,360,410,Passed,0.0001847
7.8.11 Power Test SAEABHV_Voltage OP8(8),391,V,360,410,Passed,0.0002316
7.4.1 Power Test U Current OP4(9),418.811891537526,A,400,500,Passed,0.1811249
7.4.2 Power Test V Current OP4(9),417.647729203608,A,400,500,Passed,0.1794297
7.4.3 Power Test W Current OP4(9),424.768030454188,A,400,500,Passed,0.177114
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(9),41,deg,20,99,Passed,0.0002168
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(9),70,deg,20,99,Passed,0.0001702
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(9),53,deg,20,99,Passed,0.0001483
7.4.7 Power Test AN_CTP_COOLING_F OP4(9),50,deg,20,99,Passed,0.0001889
7.4.8 Power Test FSEVBLV_Voltage OP4(9),9,V,9,12,Passed,0.0001631
7.4.9 Power Test FSEVBHV_Voltage OP4(9),390,V,360,410,Passed,0.0002016
7.4.10 Power Test FTEABHV_UbatHV OP4(9),389,V,360,410,Passed,0.0006232
7.4.11 Power Test SAEABHV_Voltage OP4(9),390,V,360,410,Passed,0.0002468
7.8.1 Power Test U Current OP8(9),419.351019208629,A,400,500,Passed,0.1953493
7.8.2 Power Test V Current OP8(9),418.35468179485,A,400,500,Passed,0.1842432
7.8.3 Power Test W Current OP8(9),424.330815735194,A,400,500,Passed,0.1846316
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(9),42,deg,20,99,Passed,0.0002016
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(9),70,deg,20,99,Passed,0.000179
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(9),55,deg,20,99,Passed,0.0001734
7.8.7 Power Test AN_CTP_COOLING_F OP8(9),50,deg,20,99,Passed,0.0001709
7.8.8 Power Test FSEVBLV_Voltage OP8(9),15,V,14,17,Passed,0.0002941
7.8.9 Power Test FSEVBHV_Voltage OP8(9),390,V,360,410,Passed,0.0001875
7.8.10 Power Test FTEABHV_UbatHV OP8(9),390,V,360,410,Passed,0.0002062
7.8.11 Power Test SAEABHV_Voltage OP8(9),390,V,360,410,Passed,0.0006193
7.4.1 Power Test U Current OP4(10),415.126516257084,A,400,500,Passed,0.1906057
7.4.2 Power Test V Current OP4(10),420.600994586568,A,400,500,Passed,0.176418
7.4.3 Power Test W Current OP4(10),422.077592252298,A,400,500,Passed,0.1762288
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(10),43,deg,20,99,Passed,0.000185
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(10),69,deg,20,99,Passed,0.0001554
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(10),56,deg,20,99,Passed,0.0001737
7.4.7 Power Test AN_CTP_COOLING_F OP4(10),50,deg,20,99,Passed,0.0001557
7.4.8 Power Test FSEVBLV_Voltage OP4(10),9,V,9,12,Passed,0.0001638
7.4.9 Power Test FSEVBHV_Voltage OP4(10),391,V,360,410,Passed,0.00019
7.4.10 Power Test FTEABHV_UbatHV OP4(10),391,V,360,410,Passed,0.0002475
7.4.11 Power Test SAEABHV_Voltage OP4(10),391,V,360,410,Passed,0.0006222
7.8.1 Power Test U Current OP8(10),417.027907889279,A,400,500,Passed,0.1909076
7.8.2 Power Test V Current OP8(10),420.590773571528,A,400,500,Passed,0.1824709
7.8.3 Power Test W Current OP8(10),421.736866377465,A,400,500,Passed,0.1849748
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(10),44,deg,20,99,Passed,0.0001815
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(10),69,deg,20,99,Passed,0.0001663
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(10),57,deg,20,99,Passed,0.0001691
7.8.7 Power Test AN_CTP_COOLING_F OP8(10),49,deg,20,99,Passed,0.0001762
7.8.8 Power Test FSEVBLV_Voltage OP8(10),15,V,14,17,Passed,0.0004887
7.8.9 Power Test FSEVBHV_Voltage OP8(10),390,V,360,410,Passed,0.0001741
7.8.10 Power Test FTEABHV_UbatHV OP8(10),388,V,360,410,Passed,0.0001727
7.8.11 Power Test SAEABHV_Voltage OP8(10),390,V,360,410,Passed,0.00022
7.4.1 Power Test U Current OP4(11),418.134072105526,A,400,500,Passed,0.1819483
