Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210750148!V29102835
Total Test Time,1054
DUTResult,Passed
Date Time,20210406193233
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,2.75E-05
End,,,,,Done,3.85E-05
7.0.0 Error Code Check,FF,,FF,FF,Passed,0.0001448
7.0.1 Enter Torque mode,True,,True,True,Passed,0.0001292
7.4.1 Power Test U Current OP4(0),420.944654183991,A,400,500,Passed,0.1776228
7.4.2 Power Test V Current OP4(0),421.38737275095,A,400,500,Passed,0.1690767
7.4.3 Power Test W Current OP4(0),421.445589763814,A,400,500,Passed,0.1700911
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),25,deg,20,99,Passed,0.0001942
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),75,deg,20,99,Passed,0.0001631
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),25,deg,20,99,Passed,0.0001751
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),32,deg,20,99,Passed,0.0001607
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001882
7.4.9 Power Test FSEVBHV_Voltage OP4(0),381,V,360,410,Passed,0.0002391
7.4.10 Power Test FTEABHV_UbatHV OP4(0),390,V,360,410,Passed,0.0001702
7.4.11 Power Test SAEABHV_Voltage OP4(0),381,V,360,410,Passed,0.0002419
7.8.1 Power Test U Current OP8(0),420.474404035309,A,400,500,Passed,0.1810123
7.8.2 Power Test V Current OP8(0),419.986368918174,A,400,500,Passed,0.1707211
7.8.3 Power Test W Current OP8(0),422.206878922018,A,400,500,Passed,0.1705311
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),25,deg,20,99,Passed,0.0002076
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),77,deg,20,99,Passed,0.0001889
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),27,deg,20,99,Passed,0.0001776
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),39,deg,20,99,Passed,0.0001476
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0001744
7.8.9 Power Test FSEVBHV_Voltage OP8(0),380,V,360,410,Passed,0.0002009
7.8.10 Power Test FTEABHV_UbatHV OP8(0),390,V,360,410,Passed,0.0001808
7.8.11 Power Test SAEABHV_Voltage OP8(0),380,V,360,410,Passed,0.0001836
7.4.1 Power Test U Current OP4(1),420.166847832371,A,400,500,Passed,0.1779509
7.4.2 Power Test V Current OP4(1),420.660251583364,A,400,500,Passed,0.1688549
7.4.3 Power Test W Current OP4(1),421.389233122632,A,400,500,Passed,0.170029
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),26,deg,20,99,Passed,0.0001801
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),77,deg,20,99,Passed,0.0001691
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),28,deg,20,99,Passed,0.0001924
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),43,deg,20,99,Passed,0.000149
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001607
