Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210690007!v29102835
Total Test Time,673
DUTResult,Terminated
Date Time,20210408200920
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,3.74E-05
End,,,,,Done,3.57E-05
7.0.0 Error Code Check,FF,,FF,FF,Passed,5.12E-05
7.0.1 Enter Torque mode,True,,True,True,Passed,4.27E-05
7.4.1 Power Test U Current OP4(0),429.841552829877,A,400,500,Passed,0.1837602
7.4.2 Power Test V Current OP4(0),426.088320148939,A,400,500,Passed,0.1778482
7.4.3 Power Test W Current OP4(0),427.487311556279,A,400,500,Passed,0.1733158
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),48,deg,20,99,Passed,0.0001716
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),76,deg,20,99,Passed,0.0001773
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),55,deg,20,99,Passed,0.0001695
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),53,deg,20,99,Passed,0.0002405
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001702
7.4.9 Power Test FSEVBHV_Voltage OP4(0),373,V,360,410,Passed,0.0001854
7.4.10 Power Test FTEABHV_UbatHV OP4(0),383,V,360,410,Passed,0.0001879
7.4.11 Power Test SAEABHV_Voltage OP4(0),373,V,360,410,Passed,0.0002602
7.8.1 Power Test U Current OP8(0),427.824853102765,A,400,500,Passed,0.176272
7.8.2 Power Test V Current OP8(0),427.690729095416,A,400,500,Passed,0.1752074
7.8.3 Power Test W Current OP8(0),427.976814010123,A,400,500,Passed,0.1762804
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),48,deg,20,99,Passed,0.0001638
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),76,deg,20,99,Passed,0.0001857
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),56,deg,20,99,Passed,0.0002133
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),54,deg,20,99,Passed,0.000191
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0001773
7.8.9 Power Test FSEVBHV_Voltage OP8(0),376,V,360,410,Passed,0.0001801
7.8.10 Power Test FTEABHV_UbatHV OP8(0),386,V,360,410,Passed,0.0002193
7.8.11 Power Test SAEABHV_Voltage OP8(0),376,V,360,410,Passed,0.0001773
7.4.1 Power Test U Current OP4(1),428.184333143919,A,400,500,Passed,0.178619
