Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210770008!v29102835
Total Test Time,758
DUTResult,Failed
Date Time,20210410160825
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,2.93E-05
End,,,,,Done,3.88E-05
7.0.0 Error Code Check,FF,,FF,FF,Passed,4.59E-05
If,,,,,Done,2.86E-05
End,,,,,Done,2.22E-05
If,,,,,Done,4.59E-05
End,,,,,Done,4.56E-05
7.0.0 Error Code Check,FF,,FF,FF,Passed,4.52E-05
7.0.1 Enter Torque mode,True,,True,True,Passed,5.86E-05
7.4.1 Power Test U Current OP4(0),420.578505364476,A,400,500,Passed,0.1802811
7.4.2 Power Test V Current OP4(0),421.195020739383,A,400,500,Passed,0.1748634
7.4.3 Power Test W Current OP4(0),420.642507601066,A,400,500,Passed,0.1754284
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),30,deg,20,99,Passed,0.000184
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),74,deg,20,99,Passed,0.000161
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),34,deg,20,99,Passed,0.0004181
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),50,deg,20,99,Passed,0.000173
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0002115
7.4.9 Power Test FSEVBHV_Voltage OP4(0),383,V,360,410,Passed,0.000196
7.4.10 Power Test FTEABHV_UbatHV OP4(0),390,V,360,410,Passed,0.000221
7.4.11 Power Test SAEABHV_Voltage OP4(0),383,V,360,410,Passed,0.0001882
7.8.1 Power Test U Current OP8(0),420.566241769634,A,400,500,Passed,0.1771865
7.8.2 Power Test V Current OP8(0),420.168232890855,A,400,500,Passed,0.1757197
7.8.3 Power Test W Current OP8(0),421.015830139556,A,400,500,Passed,0.1768496
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),32,deg,20,99,Passed,0.0001921
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),75,deg,20,99,Passed,0.000172
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),36,deg,20,99,Passed,0.0001695
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),51,deg,20,99,Passed,0.0001755
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0001674
7.8.9 Power Test FSEVBHV_Voltage OP8(0),379,V,360,410,Passed,0.0001935
