!210760101!v29102835
!210760101!v29102835
!210760101!v29102835
!210760101!v29102835
!210760101!v29102835
Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210380122!v29102835
Total Test Time,1054
DUTResult,Passed
Date Time,20210410170640
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,4.7E-05
End,,,,,Done,2.33E-05
7.0.0 Error Code Check,FF,,FF,FF,Passed,8.97E-05
7.0.1 Enter Torque mode,True,,True,True,Passed,9.32E-05
7.4.1 Power Test U Current OP4(0),424.493192268281,A,400,500,Passed,0.2311498
7.4.2 Power Test V Current OP4(0),424.655165352074,A,400,500,Passed,0.1832994
7.4.3 Power Test W Current OP4(0),421.703394764276,A,400,500,Passed,0.1784566
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),51,deg,20,99,Passed,0.0003757
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),74,deg,20,99,Passed,0.0001635
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),55,deg,20,99,Passed,0.0001628
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),51,deg,20,99,Passed,0.0001801
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.000381
7.4.9 Power Test FSEVBHV_Voltage OP4(0),372,V,360,410,Passed,0.0003552
7.4.10 Power Test FTEABHV_UbatHV OP4(0),382,V,360,410,Passed,0.0001974
7.4.11 Power Test SAEABHV_Voltage OP4(0),372,V,360,410,Passed,0.0002436
7.8.1 Power Test U Current OP8(0),422.514770793533,A,400,500,Passed,0.2061152
7.8.2 Power Test V Current OP8(0),423.901167552184,A,400,500,Passed,0.2146575
7.8.3 Power Test W Current OP8(0),422.539233902403,A,400,500,Passed,0.1954621
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),51,deg,20,99,Passed,0.0001536
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),76,deg,20,99,Passed,0.0001755
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),55,deg,20,99,Passed,0.0003001
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),54,deg,20,99,Passed,0.0001695
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0001769
7.8.9 Power Test FSEVBHV_Voltage OP8(0),378,V,360,410,Passed,0.0001914
7.8.10 Power Test FTEABHV_UbatHV OP8(0),388,V,360,410,Passed,0.0002309
7.8.11 Power Test SAEABHV_Voltage OP8(0),378,V,360,410,Passed,0.0002955
7.4.1 Power Test U Current OP4(1),422.298939314792,A,400,500,Passed,0.1699119
7.4.2 Power Test V Current OP4(1),424.36163244881,A,400,500,Passed,0.170153
7.4.3 Power Test W Current OP4(1),423.433711163477,A,400,500,Passed,0.1697381
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),52,deg,20,99,Passed,0.0001702
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),76,deg,20,99,Passed,0.0002553
