Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210760046!v29102835!210760046!v29102835
Total Test Time,1055
DUTResult,Passed
Date Time,20210410195901
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,2.37E-05
End,,,,,Done,2.12E-05
7.0.0 Error Code Check,FF,,FF,FF,Passed,4.98E-05
7.0.1 Enter Torque mode,True,,True,True,Passed,4.1E-05
7.4.1 Power Test U Current OP4(0),432.672232537006,A,400,500,Passed,0.2087123
7.4.2 Power Test V Current OP4(0),430.166514972192,A,400,500,Passed,0.2036159
7.4.3 Power Test W Current OP4(0),430.546105194831,A,400,500,Passed,0.208177
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),63,deg,20,99,Passed,0.0001942
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),76,deg,20,99,Passed,0.0001748
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),72,deg,20,99,Passed,0.0001818
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),59,deg,20,99,Passed,0.0025798
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0004746
7.4.9 Power Test FSEVBHV_Voltage OP4(0),391,V,360,410,Passed,0.0002069
7.4.10 Power Test FTEABHV_UbatHV OP4(0),389,V,360,410,Passed,0.0001702
7.4.11 Power Test SAEABHV_Voltage OP4(0),391,V,360,410,Passed,0.0001939
7.8.1 Power Test U Current OP8(0),433.210853061071,A,400,500,Passed,0.2040986
7.8.2 Power Test V Current OP8(0),428.934771743759,A,400,500,Passed,0.2032113
7.8.3 Power Test W Current OP8(0),427.810365061062,A,400,500,Passed,0.2037586
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),63,deg,20,99,Passed,0.0001744
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),76,deg,20,99,Passed,0.0001681
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),72,deg,20,99,Passed,0.0001766
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),59,deg,20,99,Passed,0.0001677
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0001787
7.8.9 Power Test FSEVBHV_Voltage OP8(0),388,V,360,410,Passed,0.0001992
7.8.10 Power Test FTEABHV_UbatHV OP8(0),387,V,360,410,Passed,0.0002119
7.8.11 Power Test SAEABHV_Voltage OP8(0),388,V,360,410,Passed,0.0002874
7.4.1 Power Test U Current OP4(1),432.864508015375,A,400,500,Passed,0.2065262
7.4.2 Power Test V Current OP4(1),428.548821144394,A,400,500,Passed,0.2043299
7.4.3 Power Test W Current OP4(1),428.849500094805,A,400,500,Passed,0.2042413
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),64,deg,20,99,Passed,0.0001716
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),76,deg,20,99,Passed,0.0001734
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),72,deg,20,99,Passed,0.0001773
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),59,deg,20,99,Passed,0.0001709
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.000178
7.4.9 Power Test FSEVBHV_Voltage OP4(1),395,V,360,410,Passed,0.0001896
7.4.10 Power Test FTEABHV_UbatHV OP4(1),392,V,360,410,Passed,0.0001984
7.4.11 Power Test SAEABHV_Voltage OP4(1),395,V,360,410,Passed,0.0002055
7.8.1 Power Test U Current OP8(1),432.157117563726,A,400,500,Passed,0.2036159
7.8.2 Power Test V Current OP8(1),429.965426384551,A,400,500,Passed,0.2020181
7.8.3 Power Test W Current OP8(1),428.056158665524,A,400,500,Passed,0.2055714
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),64,deg,20,99,Passed,0.0001871
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),77,deg,20,99,Passed,0.0001804
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),73,deg,20,99,Passed,0.0005547
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),59,deg,20,99,Passed,0.0001628
7.8.8 Power Test FSEVBLV_Voltage OP8(1),15,V,14,17,Passed,0.0038502
7.8.9 Power Test FSEVBHV_Voltage OP8(1),392,V,360,410,Passed,0.000221
7.8.10 Power Test FTEABHV_UbatHV OP8(1),390,V,360,410,Passed,0.0002232
7.8.11 Power Test SAEABHV_Voltage OP8(1),392,V,360,410,Passed,0.0003464
7.4.1 Power Test U Current OP4(2),432.691574402382,A,400,500,Passed,0.2050135
7.4.2 Power Test V Current OP4(2),429.535574154341,A,400,500,Passed,0.2022374
7.4.3 Power Test W Current OP4(2),428.787820380293,A,400,500,Passed,0.2042889
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(2),64,deg,20,99,Passed,0.0002433
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(2),77,deg,20,99,Passed,0.0001691
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(2),73,deg,20,99,Passed,0.0001511
7.4.7 Power Test AN_CTP_COOLING_F OP4(2),59,deg,20,99,Passed,0.0001702
7.4.8 Power Test FSEVBLV_Voltage OP4(2),9,V,9,12,Passed,0.0001808
7.4.9 Power Test FSEVBHV_Voltage OP4(2),388,V,360,410,Passed,0.0001797
7.4.10 Power Test FTEABHV_UbatHV OP4(2),386,V,360,410,Passed,0.0002172
7.4.11 Power Test SAEABHV_Voltage OP4(2),388,V,360,410,Passed,0.000221
7.8.1 Power Test U Current OP8(2),433.399466108345,A,400,500,Passed,0.2031954
7.8.2 Power Test V Current OP8(2),428.173144301709,A,400,500,Passed,0.2017893
7.8.3 Power Test W Current OP8(2),429.627800316802,A,400,500,Passed,0.2027201
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(2),65,deg,20,99,Passed,0.0001861
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(2),77,deg,20,99,Passed,0.0001868
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(2),74,deg,20,99,Passed,0.0001836
7.8.7 Power Test AN_CTP_COOLING_F OP8(2),59,deg,20,99,Passed,0.0002101
7.8.8 Power Test FSEVBLV_Voltage OP8(2),15,V,14,17,Passed,0.0001744
7.8.9 Power Test FSEVBHV_Voltage OP8(2),398,V,360,410,Passed,0.0002101
7.8.10 Power Test FTEABHV_UbatHV OP8(2),396,V,360,410,Passed,0.0006313
7.8.11 Power Test SAEABHV_Voltage OP8(2),398,V,360,410,Passed,0.000197
7.4.1 Power Test U Current OP4(3),433.841191089703,A,400,500,Passed,0.2023006
7.4.2 Power Test V Current OP4(3),427.968090264963,A,400,500,Passed,0.2020107
7.4.3 Power Test W Current OP4(3),428.142078128871,A,400,500,Passed,0.2021749
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(3),65,deg,20,99,Passed,0.0001762
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(3),77,deg,20,99,Passed,0.0002228
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(3),74,deg,20,99,Passed,0.0002472
7.4.7 Power Test AN_CTP_COOLING_F OP4(3),60,deg,20,99,Passed,0.000279
7.4.8 Power Test FSEVBLV_Voltage OP4(3),9,V,9,12,Passed,0.0001713
7.4.9 Power Test FSEVBHV_Voltage OP4(3),386,V,360,410,Passed,0.0002062
7.4.10 Power Test FTEABHV_UbatHV OP4(3),385,V,360,410,Passed,0.0001681
7.4.11 Power Test SAEABHV_Voltage OP4(3),386,V,360,410,Passed,0.000559
7.8.1 Power Test U Current OP8(3),432.704857291011,A,400,500,Passed,0.2036014
7.8.2 Power Test V Current OP8(3),428.921161216696,A,400,500,Passed,0.2040884
7.8.3 Power Test W Current OP8(3),429.01356022537,A,400,500,Passed,0.201259
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(3),65,deg,20,99,Passed,0.0001801
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(3),77,deg,20,99,Passed,0.0001723
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(3),75,deg,20,99,Passed,0.0001702
7.8.7 Power Test AN_CTP_COOLING_F OP8(3),60,deg,20,99,Passed,0.0001879
7.8.8 Power Test FSEVBLV_Voltage OP8(3),15,V,14,17,Passed,0.0001525
7.8.9 Power Test FSEVBHV_Voltage OP8(3),395,V,360,410,Passed,0.0002479
