Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210730066!V29102835
Total Test Time,1143
DUTResult,Error
Date Time,20210413143523
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,2.47E-05
End,,,,,Done,4.24E-05
7.0.0 Error Code Check,FF,,FF,FF,Passed,6.96E-05
7.0.1 Enter Troque mode,True,,True,True,Passed,8.69E-05
7.4.1 Power Test U Current OP4(0),426.217237934428,A,400,500,Passed,0.1874667
7.4.2 Power Test V Current OP4(0),425.856240783437,A,400,500,Passed,0.1865381
7.4.3 Power Test W Current OP4(0),428.020910244923,A,400,500,Passed,0.1888933
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),36,deg,20,99,Passed,0.0001939
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),73,deg,20,99,Passed,0.0004364
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),39,deg,20,99,Passed,0.0001836
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),41,deg,20,99,Passed,0.0001992
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0004725
7.4.9 Power Test FSEVBHV_Voltage OP4(0),372,V,360,410,Passed,0.0002083
7.4.10 Power Test FTEABHV_UbatHV OP4(0),382,V,360,410,Passed,0.0002309
7.4.11 Power Test SAEABHV_Voltage OP4(0),372,V,360,410,Passed,0.0002225
7.8.1 Power Test U Current OP8(0),427.025235657952,A,400,500,Passed,0.1799086
7.8.2 Power Test V Current OP8(0),423.583196726903,A,400,500,Passed,0.1774665
7.8.3 Power Test W Current OP8(0),428.338451928172,A,400,500,Passed,0.1763087
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),37,deg,20,99,Passed,0.0001741
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),75,deg,20,99,Passed,0.000191
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),40,deg,20,99,Passed,0.0001833
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),46,deg,20,99,Passed,0.0001861
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0002193
7.8.9 Power Test FSEVBHV_Voltage OP8(0),374,V,360,410,Passed,0.0002405
7.8.10 Power Test FTEABHV_UbatHV OP8(0),384,V,360,410,Passed,0.0002422
7.8.11 Power Test SAEABHV_Voltage OP8(0),374,V,360,410,Passed,0.0002313
7.4.1 Power Test U Current OP4(1),427.580366839845,A,400,500,Passed,0.1714447
7.4.2 Power Test V Current OP4(1),424.745759204924,A,400,500,Passed,0.1707042
7.4.3 Power Test W Current OP4(1),426.417376945293,A,400,500,Passed,0.1775534
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),37,deg,20,99,Passed,0.0001963
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),75,deg,20,99,Passed,0.0001705
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),41,deg,20,99,Passed,0.0002179
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),48,deg,20,99,Passed,0.0001847
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.000178
7.4.9 Power Test FSEVBHV_Voltage OP4(1),373,V,360,410,Passed,0.0002405
7.4.10 Power Test FTEABHV_UbatHV OP4(1),382,V,360,410,Passed,0.0002087
7.4.11 Power Test SAEABHV_Voltage OP4(1),373,V,360,410,Passed,0.0005268
7.8.1 Power Test U Current OP8(1),427.845791236837,A,400,500,Passed,0.1806476
7.8.2 Power Test V Current OP8(1),422.958086166644,A,400,500,Passed,0.1766558
