Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,210740088!v29102835
Total Test Time,1119
DUTResult,Error
Date Time,20210413142835
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,6.5E-05
End,,,,,Done,2.72E-05
7.0.0 Error Code Check,FF,,FF,FF,Passed,0.0001995
7.0.1 Enter Troque mode,True,,True,True,Passed,0.0001476
7.4.1 Power Test U Current OP4(0),423.741189259462,A,400,500,Passed,1.5666364
7.4.2 Power Test V Current OP4(0),422.525331251785,A,400,500,Passed,0.169331
7.4.3 Power Test W Current OP4(0),425.116626247277,A,400,500,Passed,0.1710121
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),32,deg,20,99,Passed,0.0006084
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),74,deg,20,99,Passed,0.0003316
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),34,deg,20,99,Passed,0.0003185
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),38,deg,20,99,Passed,0.0003429
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.000697
7.4.9 Power Test FSEVBHV_Voltage OP4(0),388,V,360,410,Passed,0.0007461
7.4.10 Power Test FTEABHV_UbatHV OP4(0),386,V,360,410,Passed,0.0003676
7.4.11 Power Test SAEABHV_Voltage OP4(0),388,V,360,410,Passed,0.0003891
7.8.1 Power Test U Current OP8(0),423.889163482369,A,400,500,Passed,0.1703317
7.8.2 Power Test V Current OP8(0),422.6041435968,A,400,500,Passed,0.1679917
7.8.3 Power Test W Current OP8(0),424.833269429115,A,400,500,Passed,0.1681831
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),33,deg,20,99,Passed,0.00034
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),75,deg,20,99,Passed,0.0003701
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),35,deg,20,99,Passed,0.0008135
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),44,deg,20,99,Passed,0.000453
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0003386
7.8.9 Power Test FSEVBHV_Voltage OP8(0),394,V,360,410,Passed,0.0003619
7.8.10 Power Test FTEABHV_UbatHV OP8(0),393,V,360,410,Passed,0.0003821
7.8.11 Power Test SAEABHV_Voltage OP8(0),394,V,360,410,Passed,0.0003584
7.4.1 Power Test U Current OP4(1),423.432653815044,A,400,500,Passed,0.1771766
7.4.2 Power Test V Current OP4(1),422.541093444283,A,400,500,Passed,0.1845695
7.4.3 Power Test W Current OP4(1),425.068199043495,A,400,500,Passed,0.1674617
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),34,deg,20,99,Passed,0.0001702
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),75,deg,20,99,Passed,0.0001843
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),37,deg,20,99,Passed,0.0001804
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),47,deg,20,99,Passed,0.0001702
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001727
7.4.9 Power Test FSEVBHV_Voltage OP4(1),395,V,360,410,Passed,0.0002136
7.4.10 Power Test FTEABHV_UbatHV OP4(1),394,V,360,410,Passed,0.0001949
7.4.11 Power Test SAEABHV_Voltage OP4(1),395,V,360,410,Passed,0.0002613
7.8.1 Power Test U Current OP8(1),420.949626027639,A,400,500,Passed,0.2455324
7.8.2 Power Test V Current OP8(1),422.681330621046,A,400,500,Passed,0.2904641
7.8.3 Power Test W Current OP8(1),427.135766314163,A,400,500,Passed,0.2639196
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),35,deg,20,99,Passed,0.0002143
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),76,deg,20,99,Passed,0.0002186
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),38,deg,20,99,Passed,0.001059
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),49,deg,20,99,Passed,0.0005731
7.8.8 Power Test FSEVBLV_Voltage OP8(1),15,V,14,17,Passed,0.0016589
7.8.9 Power Test FSEVBHV_Voltage OP8(1),394,V,360,410,Passed,0.0013782
7.8.10 Power Test FTEABHV_UbatHV OP8(1),393,V,360,410,Passed,0.0048206
7.8.11 Power Test SAEABHV_Voltage OP8(1),394,V,360,410,Passed,0.0013637
7.4.1 Power Test U Current OP4(2),422.771403416219,A,400,500,Passed,0.2417189
7.4.2 Power Test V Current OP4(2),424.07993726794,A,400,500,Passed,0.2907205
7.4.3 Power Test W Current OP4(2),424.973954133658,A,400,500,Passed,0.3026868
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(2),36,deg,20,99,Passed,0.0006172
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(2),76,deg,20,99,Passed,0.0008782
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(2),40,deg,20,99,Passed,0.0008376
7.4.7 Power Test AN_CTP_COOLING_F OP4(2),50,deg,20,99,Passed,0.0013835
7.4.8 Power Test FSEVBLV_Voltage OP4(2),9,V,9,12,Passed,0.0017094
7.4.9 Power Test FSEVBHV_Voltage OP4(2),388,V,360,410,Passed,0.0006949
7.4.10 Power Test FTEABHV_UbatHV OP4(2),387,V,360,410,Passed,0.0128971
7.4.11 Power Test SAEABHV_Voltage OP4(2),388,V,360,410,Passed,0.0027411
7.8.1 Power Test U Current OP8(2),422.889250152478,A,400,500,Passed,0.2050566
7.8.2 Power Test V Current OP8(2),424.318574740682,A,400,500,Passed,0.218305
7.8.3 Power Test W Current OP8(2),425.907271729586,A,400,500,Passed,0.2060774
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(2),37,deg,20,99,Passed,0.0001826
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(2),76,deg,20,99,Passed,0.0001681
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(2),41,deg,20,99,Passed,0.0002489
7.8.7 Power Test AN_CTP_COOLING_F OP8(2),51,deg,20,99,Passed,0.0012154
7.8.8 Power Test FSEVBLV_Voltage OP8(2),15,V,14,17,Passed,0.0001808
7.8.9 Power Test FSEVBHV_Voltage OP8(2),395,V,360,410,Passed,0.0003054
7.8.10 Power Test FTEABHV_UbatHV OP8(2),393,V,360,410,Passed,0.0005823
7.8.11 Power Test SAEABHV_Voltage OP8(2),395,V,360,410,Passed,0.000298
7.4.1 Power Test U Current OP4(3),421.320986556098,A,400,500,Passed,0.225294
7.4.2 Power Test V Current OP4(3),425.549535028711,A,400,500,Passed,0.2095371
7.4.3 Power Test W Current OP4(3),426.661653582636,A,400,500,Passed,0.2142927
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(3),38,deg,20,99,Passed,0.0004308
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(3),76,deg,20,99,Passed,0.0002659
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(3),43,deg,20,99,Passed,0.0001811
7.4.7 Power Test AN_CTP_COOLING_F OP4(3),52,deg,20,99,Passed,0.0002412
7.4.8 Power Test FSEVBLV_Voltage OP4(3),9,V,9,12,Passed,0.0001992
7.4.9 Power Test FSEVBHV_Voltage OP4(3),396,V,360,410,Passed,0.0002786
7.4.10 Power Test FTEABHV_UbatHV OP4(3),394,V,360,410,Passed,0.0008361
7.4.11 Power Test SAEABHV_Voltage OP4(3),396,V,360,410,Passed,0.0002652
7.8.1 Power Test U Current OP8(3),422.891614885453,A,400,500,Passed,0.2153845
7.8.2 Power Test V Current OP8(3),426.099321936716,A,400,500,Passed,0.2346901
7.8.3 Power Test W Current OP8(3),427.111979305025,A,400,500,Passed,0.2218996
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(3),38,deg,20,99,Passed,0.0002094
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(3),76,deg,20,99,Passed,0.0001896
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(3),44,deg,20,99,Passed,0.0001967
7.8.7 Power Test AN_CTP_COOLING_F OP8(3),52,deg,20,99,Passed,0.0002602
7.8.8 Power Test FSEVBLV_Voltage OP8(3),15,V,14,17,Passed,0.0007267
7.8.9 Power Test FSEVBHV_Voltage OP8(3),398,V,360,410,Passed,0.0002027
7.8.10 Power Test FTEABHV_UbatHV OP8(3),396,V,360,410,Passed,0.0002496
7.8.11 Power Test SAEABHV_Voltage OP8(3),398,V,360,410,Passed,0.0003927
7.4.1 Power Test U Current OP4(4),423.650572867084,A,400,500,Passed,0.2086861
7.4.2 Power Test V Current OP4(4),424.339419687311,A,400,500,Passed,0.2065216
7.4.3 Power Test W Current OP4(4),425.52242487982,A,400,500,Passed,0.2049485
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(4),39,deg,20,99,Passed,0.0002786
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(4),76,deg,20,99,Passed,0.0001826
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(4),46,deg,20,99,Passed,0.000423
7.4.7 Power Test AN_CTP_COOLING_F OP4(4),53,deg,20,99,Passed,0.0002447
7.4.8 Power Test FSEVBLV_Voltage OP4(4),9,V,9,12,Passed,0.0001861
7.4.9 Power Test FSEVBHV_Voltage OP4(4),387,V,360,410,Passed,0.0002059
7.4.10 Power Test FTEABHV_UbatHV OP4(4),386,V,360,410,Passed,0.0010632
7.4.11 Power Test SAEABHV_Voltage OP4(4),387,V,360,410,Passed,0.0003732
7.8.1 Power Test U Current OP8(4),424.174204821515,A,400,500,Passed,0.2070336
7.8.2 Power Test V Current OP8(4),425.247416868982,A,400,500,Passed,0.2145544
7.8.3 Power Test W Current OP8(4),426.371671929773,A,400,500,Passed,0.2110297
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(4),40,deg,20,99,Passed,0.0002366
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(4),76,deg,20,99,Passed,0.0002217
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(4),47,deg,20,99,Passed,0.0002486
7.8.7 Power Test AN_CTP_COOLING_F OP8(4),53,deg,20,99,Passed,0.0002246
7.8.8 Power Test FSEVBLV_Voltage OP8(4),15,V,14,17,Passed,0.0003178
7.8.9 Power Test FSEVBHV_Voltage OP8(4),391,V,360,410,Passed,0.0002613
7.8.10 Power Test FTEABHV_UbatHV OP8(4),390,V,360,410,Passed,0.0007062
7.8.11 Power Test SAEABHV_Voltage OP8(4),391,V,360,410,Passed,0.0002352
7.4.1 Power Test U Current OP4(5),424.08227112386,A,400,500,Passed,0.2082974
7.4.2 Power Test V Current OP4(5),425.479635677553,A,400,500,Passed,0.2139664
7.4.3 Power Test W Current OP4(5),425.56060788468,A,400,500,Passed,0.2120554
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(5),41,deg,20,99,Passed,0.0002002
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(5),76,deg,20,99,Passed,0.0013097
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(5),49,deg,20,99,Passed,0.0003058
7.4.7 Power Test AN_CTP_COOLING_F OP4(5),53,deg,20,99,Passed,0.0003354
7.4.8 Power Test FSEVBLV_Voltage OP4(5),9,V,9,12,Passed,0.0003708
7.4.9 Power Test FSEVBHV_Voltage OP4(5),391,V,360,410,Passed,0.0002535
7.4.10 Power Test FTEABHV_UbatHV OP4(5),392,V,360,410,Passed,0.0003128
7.4.11 Power Test SAEABHV_Voltage OP4(5),391,V,360,410,Passed,0.0003535
7.8.1 Power Test U Current OP8(5),423.022218347904,A,400,500,Passed,0.2152228
7.8.2 Power Test V Current OP8(5),425.846677698982,A,400,500,Passed,0.231783
7.8.3 Power Test W Current OP8(5),424.379867089106,A,400,500,Passed,0.2385509
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(5),42,deg,20,99,Passed,0.0002013
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(5),77,deg,20,99,Passed,0.0002048
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(5),51,deg,20,99,Passed,0.0001974
7.8.7 Power Test AN_CTP_COOLING_F OP8(5),54,deg,20,99,Passed,0.0002602
7.8.8 Power Test FSEVBLV_Voltage OP8(5),15,V,14,17,Passed,0.0007034
7.8.9 Power Test FSEVBHV_Voltage OP8(5),386,V,360,410,Passed,0.000279
7.8.10 Power Test FTEABHV_UbatHV OP8(5),385,V,360,410,Passed,0.0004594
7.8.11 Power Test SAEABHV_Voltage OP8(5),386,V,360,410,Passed,0.0007878
7.4.1 Power Test U Current OP4(6),424.793485299737,A,400,500,Passed,0.2570881
7.4.2 Power Test V Current OP4(6),425.650681323633,A,400,500,Passed,0.2507845
7.4.3 Power Test W Current OP4(6),424.475769310324,A,400,500,Passed,0.2356604
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(6),43,deg,20,99,Passed,0.0003535
