Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210790178!v29102835
Total Test Time,1055
DUTResult,Passed
Date Time,20210413005453
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,4.56E-05
End,,,,,Done,1.94E-05
7.0.0 Error Code Check,FF,,FF,FF,Passed,5.23E-05
7.0.1 Enter Torque mode,True,,True,True,Passed,5.86E-05
7.4.1 Power Test U Current OP4(0),416.869689461577,A,400,500,Passed,0.181119
7.4.2 Power Test V Current OP4(0),420.740584911054,A,400,500,Passed,0.173195
7.4.3 Power Test W Current OP4(0),423.605176772318,A,400,500,Passed,0.1728723
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),24,deg,20,99,Passed,0.0001776
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),72,deg,20,99,Passed,0.0001631
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),24,deg,20,99,Passed,0.0004057
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),30,deg,20,99,Passed,0.0001822
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001631
7.4.9 Power Test FSEVBHV_Voltage OP4(0),377,V,360,410,Passed,0.0001674
7.4.10 Power Test FTEABHV_UbatHV OP4(0),387,V,360,410,Passed,0.0001917
7.4.11 Power Test SAEABHV_Voltage OP4(0),377,V,360,410,Passed,0.0001762
7.8.1 Power Test U Current OP8(0),414.948536449481,A,400,500,Passed,0.180898
7.8.2 Power Test V Current OP8(0),418.588716470123,A,400,500,Passed,0.1739701
7.8.3 Power Test W Current OP8(0),422.192742206177,A,400,500,Passed,0.1742829
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),25,deg,20,99,Passed,0.0001561
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),74,deg,20,99,Passed,0.0001592
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),25,deg,20,99,Passed,0.0002306
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),38,deg,20,99,Passed,0.0001614
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0001653
7.8.9 Power Test FSEVBHV_Voltage OP8(0),378,V,360,410,Passed,0.0001924
7.8.10 Power Test FTEABHV_UbatHV OP8(0),388,V,360,410,Passed,0.0001645
7.8.11 Power Test SAEABHV_Voltage OP8(0),378,V,360,410,Passed,0.0005049
7.4.1 Power Test U Current OP4(1),417.80909228286,A,400,500,Passed,0.17838
7.4.2 Power Test V Current OP4(1),416.77047703619,A,400,500,Passed,0.1736978
7.4.3 Power Test W Current OP4(1),420.434313604628,A,400,500,Passed,0.1732882
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),25,deg,20,99,Passed,0.0001564
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),75,deg,20,99,Passed,0.0001946
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),27,deg,20,99,Passed,0.0001907
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),42,deg,20,99,Passed,0.0001702
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001554
