!210790125!V29102835
!210790125!V29102835
!210790125!V29102835
!210790125!V29102835
Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,!210800120!V29102835
Total Test Time,1055
DUTResult,Passed
Date Time,20210416161626
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,4.91E-05
End,,,,,Done,2.01E-05
7.0.0 Error Code Check,FF,,FF,FF,Passed,5.16E-05
7.0.1 Enter Torque mode,True,,True,True,Passed,4.17E-05
7.4.1 Power Test U Current OP4(0),418.320091335085,A,400,500,Passed,0.1810465
7.4.2 Power Test V Current OP4(0),419.22036830197,A,400,500,Passed,0.1724191
7.4.3 Power Test W Current OP4(0),421.241967199343,A,400,500,Passed,0.17284
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),23,deg,20,99,Passed,0.000191
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),74,deg,20,99,Passed,0.0001758
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),24,deg,20,99,Passed,0.0001568
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),29,deg,20,99,Passed,0.0001762
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001695
7.4.9 Power Test FSEVBHV_Voltage OP4(0),391,V,360,410,Passed,0.0001988
7.4.10 Power Test FTEABHV_UbatHV OP4(0),388,V,360,410,Passed,0.0001822
7.4.11 Power Test SAEABHV_Voltage OP4(0),391,V,360,410,Passed,0.0003693
7.8.1 Power Test U Current OP8(0),416.066726426316,A,400,500,Passed,0.1803654
7.8.2 Power Test V Current OP8(0),420.843017284682,A,400,500,Passed,0.1725837
7.8.3 Power Test W Current OP8(0),424.2076390238,A,400,500,Passed,0.1745943
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),24,deg,20,99,Passed,0.0001984
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),75,deg,20,99,Passed,0.0005028
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),25,deg,20,99,Passed,0.0001921
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),37,deg,20,99,Passed,0.0004792
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.000494
7.8.9 Power Test FSEVBHV_Voltage OP8(0),393,V,360,410,Passed,0.0001875
