Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,21!V29102835
Total Test Time,1064
DUTResult,Passed
Date Time,20210426180028
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
Statement,,,,,Skipped,3.71E-05
If,,,,,Done,6.29E-05
End,,,,,Done,2.37E-05
7.0.0 Error Code Check,FF,,FF,FF,Passed,4.8E-05
7.0.1 Enter Troque mode,True,,True,True,Passed,4.31E-05
7.4.1 Power Test U Current OP4(0),423.991103566635,A,400,500,Passed,0.217998
7.4.2 Power Test V Current OP4(0),421.251283434856,A,400,500,Passed,0.1724992
7.4.3 Power Test W Current OP4(0),425.932051949633,A,400,500,Passed,0.1751062
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),23,deg,20,99,Passed,0.0001818
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),75,deg,20,99,Passed,0.0001762
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),23,deg,20,99,Passed,0.000178
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),29,deg,20,99,Passed,0.0001762
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0004421
7.4.9 Power Test FSEVBHV_Voltage OP4(0),392,V,360,410,Passed,0.0002631
7.4.10 Power Test FTEABHV_UbatHV OP4(0),391,V,360,410,Passed,0.0002069
7.4.11 Power Test SAEABHV_Voltage OP4(0),392,V,360,410,Passed,0.0001854
7.8.1 Power Test U Current OP8(0),424.917756356661,A,400,500,Passed,0.1818953
7.8.2 Power Test V Current OP8(0),423.688191130714,A,400,500,Passed,0.1749438
7.8.3 Power Test W Current OP8(0),424.947437555606,A,400,500,Passed,0.174722
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),24,deg,20,99,Passed,0.0001663
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),76,deg,20,99,Passed,0.0003143
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),24,deg,20,99,Passed,0.0001515
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),37,deg,20,99,Passed,0.0001709
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0001984
7.8.9 Power Test FSEVBHV_Voltage OP8(0),394,V,360,410,Passed,0.0002454
7.8.10 Power Test FTEABHV_UbatHV OP8(0),392,V,360,410,Passed,0.0001889
7.8.11 Power Test SAEABHV_Voltage OP8(0),394,V,360,410,Passed,0.0001681
7.4.1 Power Test U Current OP4(1),423.700740531461,A,400,500,Passed,0.2187043
7.4.2 Power Test V Current OP4(1),421.993854740247,A,400,500,Passed,0.1757428
7.4.3 Power Test W Current OP4(1),426.961196545222,A,400,500,Passed,0.1774836
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),24,deg,20,99,Passed,0.000191
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),77,deg,20,99,Passed,0.0001861
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),26,deg,20,99,Passed,0.0001783
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),41,deg,20,99,Passed,0.0002578
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001684
7.4.9 Power Test FSEVBHV_Voltage OP4(1),397,V,360,410,Passed,0.0001967
7.4.10 Power Test FTEABHV_UbatHV OP4(1),396,V,360,410,Passed,0.0001709
7.4.11 Power Test SAEABHV_Voltage OP4(1),397,V,360,410,Passed,0.0001992
7.8.1 Power Test U Current OP8(1),422.144069722441,A,400,500,Passed,0.2130924
7.8.2 Power Test V Current OP8(1),422.289316186197,A,400,500,Passed,0.174245
7.8.3 Power Test W Current OP8(1),428.90978759132,A,400,500,Passed,0.1876608
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),25,deg,20,99,Passed,0.0012249
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),77,deg,20,99,Passed,0.0109317
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),27,deg,20,99,Passed,0.0115769
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),44,deg,20,99,Passed,0.0108187
7.8.8 Power Test FSEVBLV_Voltage OP8(1),15,V,14,17,Passed,0.0118043
7.8.9 Power Test FSEVBHV_Voltage OP8(1),394,V,360,410,Passed,0.0002701
7.8.10 Power Test FTEABHV_UbatHV OP8(1),392,V,360,410,Passed,0.0004714
7.8.11 Power Test SAEABHV_Voltage OP8(1),394,V,360,410,Passed,0.0012094
7.4.1 Power Test U Current OP4(2),423.671682965895,A,400,500,Passed,0.1787139
7.4.2 Power Test V Current OP4(2),423.040715709881,A,400,500,Passed,0.1729427
7.4.3 Power Test W Current OP4(2),423.274224934503,A,400,500,Passed,0.1737817
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(2),26,deg,20,99,Passed,0.0001773
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(2),78,deg,20,99,Passed,0.000179
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(2),29,deg,20,99,Passed,0.0001886
7.4.7 Power Test AN_CTP_COOLING_F OP4(2),45,deg,20,99,Passed,0.0001808
7.4.8 Power Test FSEVBLV_Voltage OP4(2),9,V,9,12,Passed,0.0002066
7.4.9 Power Test FSEVBHV_Voltage OP4(2),393,V,360,410,Passed,0.0001847
7.4.10 Power Test FTEABHV_UbatHV OP4(2),391,V,360,410,Passed,0.0001836
7.4.11 Power Test SAEABHV_Voltage OP4(2),393,V,360,410,Passed,0.0001698
7.8.1 Power Test U Current OP8(2),423.34609718901,A,400,500,Passed,0.1806821
7.8.2 Power Test V Current OP8(2),420.716885919845,A,400,500,Passed,0.1725042
7.8.3 Power Test W Current OP8(2),429.538447486774,A,400,500,Passed,0.1739321
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(2),27,deg,20,99,Passed,0.0001818
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(2),78,deg,20,99,Passed,0.0004993
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(2),31,deg,20,99,Passed,0.0001741
7.8.7 Power Test AN_CTP_COOLING_F OP8(2),47,deg,20,99,Passed,0.0002963
7.8.8 Power Test FSEVBLV_Voltage OP8(2),15,V,14,17,Passed,0.0001907
7.8.9 Power Test FSEVBHV_Voltage OP8(2),388,V,360,410,Passed,0.0002482
7.8.10 Power Test FTEABHV_UbatHV OP8(2),390,V,360,410,Passed,0.0002475
7.8.11 Power Test SAEABHV_Voltage OP8(2),388,V,360,410,Passed,0.0001847
7.4.1 Power Test U Current OP4(3),425.850150071601,A,400,500,Passed,0.2548885
7.4.2 Power Test V Current OP4(3),422.556696605109,A,400,500,Passed,0.1743188
7.4.3 Power Test W Current OP4(3),424.040830786932,A,400,500,Passed,0.175407
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(3),28,deg,20,99,Passed,0.0001734
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(3),78,deg,20,99,Passed,0.0001607
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(3),33,deg,20,99,Passed,0.000179
7.4.7 Power Test AN_CTP_COOLING_F OP4(3),48,deg,20,99,Passed,0.0002076
7.4.8 Power Test FSEVBLV_Voltage OP4(3),9,V,9,12,Passed,0.000172
7.4.9 Power Test FSEVBHV_Voltage OP4(3),386,V,360,410,Passed,0.0002013
7.4.10 Power Test FTEABHV_UbatHV OP4(3),384,V,360,410,Passed,0.000196
7.4.11 Power Test SAEABHV_Voltage OP4(3),386,V,360,410,Passed,0.0006529
7.8.1 Power Test U Current OP8(3),424.863349434359,A,400,500,Passed,0.1812834
7.8.2 Power Test V Current OP8(3),421.190594988833,A,400,500,Passed,0.1748407
7.8.3 Power Test W Current OP8(3),430.729395926088,A,400,500,Passed,0.1765776
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(3),30,deg,20,99,Passed,0.0006342
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(3),78,deg,20,99,Passed,0.0001833
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(3),35,deg,20,99,Passed,0.0003241
7.8.7 Power Test AN_CTP_COOLING_F OP8(3),49,deg,20,99,Passed,0.0002366
7.8.8 Power Test FSEVBLV_Voltage OP8(3),15,V,14,17,Passed,0.0002631
7.8.9 Power Test FSEVBHV_Voltage OP8(3),388,V,360,410,Passed,0.0002436
7.8.10 Power Test FTEABHV_UbatHV OP8(3),386,V,360,410,Passed,0.0004799
7.8.11 Power Test SAEABHV_Voltage OP8(3),388,V,360,410,Passed,0.0006649
7.4.1 Power Test U Current OP4(4),424.876815683616,A,400,500,Passed,0.1814049
7.4.2 Power Test V Current OP4(4),421.669475960041,A,400,500,Passed,0.1767231
7.4.3 Power Test W Current OP4(4),425.561409827347,A,400,500,Passed,0.1774974
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(4),31,deg,20,99,Passed,0.0001931
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(4),79,deg,20,99,Passed,0.0002765
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(4),37,deg,20,99,Passed,0.0001889
7.4.7 Power Test AN_CTP_COOLING_F OP4(4),50,deg,20,99,Passed,0.0002383
7.4.8 Power Test FSEVBLV_Voltage OP4(4),9,V,9,12,Passed,0.0001871
7.4.9 Power Test FSEVBHV_Voltage OP4(4),392,V,360,410,Passed,0.0002062
7.4.10 Power Test FTEABHV_UbatHV OP4(4),387,V,360,410,Passed,0.0002571
7.4.11 Power Test SAEABHV_Voltage OP4(4),392,V,360,410,Passed,0.0002662
7.8.1 Power Test U Current OP8(4),423.833723631761,A,400,500,Passed,0.1787961
7.8.2 Power Test V Current OP8(4),424.021485545775,A,400,500,Passed,0.1769123
7.8.3 Power Test W Current OP8(4),424.947347944273,A,400,500,Passed,0.1778233
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(4),32,deg,20,99,Passed,0.0001942
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(4),79,deg,20,99,Passed,0.0004912
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(4),39,deg,20,99,Passed,0.0001903
7.8.7 Power Test AN_CTP_COOLING_F OP8(4),50,deg,20,99,Passed,0.0002677
7.8.8 Power Test FSEVBLV_Voltage OP8(4),15,V,14,17,Passed,0.0001907
7.8.9 Power Test FSEVBHV_Voltage OP8(4),393,V,360,410,Passed,0.0002143
7.8.10 Power Test FTEABHV_UbatHV OP8(4),391,V,360,410,Passed,0.0006631
7.8.11 Power Test SAEABHV_Voltage OP8(4),393,V,360,410,Passed,0.0002214
7.4.1 Power Test U Current OP4(5),424.066529510434,A,400,500,Passed,0.1720561
7.4.2 Power Test V Current OP4(5),423.266360388148,A,400,500,Passed,0.1773329
7.4.3 Power Test W Current OP4(5),428.066566709252,A,400,500,Passed,0.1804158
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(5),33,deg,20,99,Passed,0.0002666
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(5),79,deg,20,99,Passed,0.0004926
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(5),40,deg,20,99,Passed,0.0001783
7.4.7 Power Test AN_CTP_COOLING_F OP4(5),51,deg,20,99,Passed,0.0002009
7.4.8 Power Test FSEVBLV_Voltage OP4(5),9,V,9,12,Passed,0.000226
7.4.9 Power Test FSEVBHV_Voltage OP4(5),390,V,360,410,Passed,0.0002299
7.4.10 Power Test FTEABHV_UbatHV OP4(5),389,V,360,410,Passed,0.0002493
7.4.11 Power Test SAEABHV_Voltage OP4(5),390,V,360,410,Passed,0.0008817
7.8.1 Power Test U Current OP8(5),426.534064582968,A,400,500,Passed,0.180353
7.8.2 Power Test V Current OP8(5),421.746777603766,A,400,500,Passed,0.1761263
7.8.3 Power Test W Current OP8(5),425.500446668347,A,400,500,Passed,0.1761729
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(5),34,deg,20,99,Passed,0.0001691
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(5),79,deg,20,99,Passed,0.000179
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(5),42,deg,20,99,Passed,0.0001628
7.8.7 Power Test AN_CTP_COOLING_F OP8(5),52,deg,20,99,Passed,0.0001811
7.8.8 Power Test FSEVBLV_Voltage OP8(5),15,V,14,17,Passed,0.000179
7.8.9 Power Test FSEVBHV_Voltage OP8(5),391,V,360,410,Passed,0.0005275
7.8.10 Power Test FTEABHV_UbatHV OP8(5),389,V,360,410,Passed,0.0002786
7.8.11 Power Test SAEABHV_Voltage OP8(5),391,V,360,410,Passed,0.0002574
7.4.1 Power Test U Current OP4(6),426.982610473986,A,400,500,Passed,0.1819931
7.4.2 Power Test V Current OP4(6),422.61170034279,A,400,500,Passed,0.1754706
7.4.3 Power Test W Current OP4(6),423.439856938758,A,400,500,Passed,0.1759152
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(6),36,deg,20,99,Passed,0.000178
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(6),79,deg,20,99,Passed,0.0004117
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(6),44,deg,20,99,Passed,0.0001766
7.4.7 Power Test AN_CTP_COOLING_F OP4(6),52,deg,20,99,Passed,0.0001974
7.4.8 Power Test FSEVBLV_Voltage OP4(6),9,V,9,12,Passed,0.0001698
7.4.9 Power Test FSEVBHV_Voltage OP4(6),393,V,360,410,Passed,0.0001822
7.4.10 Power Test FTEABHV_UbatHV OP4(6),392,V,360,410,Passed,0.0002818
7.4.11 Power Test SAEABHV_Voltage OP4(6),393,V,360,410,Passed,0.0006674
7.8.1 Power Test U Current OP8(6),426.382806118912,A,400,500,Passed,0.1779635
7.8.2 Power Test V Current OP8(6),423.624677327632,A,400,500,Passed,0.1790422
7.8.3 Power Test W Current OP8(6),423.45341000037,A,400,500,Passed,0.1793586
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(6),37,deg,20,99,Passed,0.0002136
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(6),79,deg,20,99,Passed,0.0002263
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(6),46,deg,20,99,Passed,0.000209
7.8.7 Power Test AN_CTP_COOLING_F OP8(6),53,deg,20,99,Passed,0.0004562
7.8.8 Power Test FSEVBLV_Voltage OP8(6),15,V,14,17,Passed,0.0002564
7.8.9 Power Test FSEVBHV_Voltage OP8(6),389,V,360,410,Passed,0.0002313
7.8.10 Power Test FTEABHV_UbatHV OP8(6),387,V,360,410,Passed,0.0002528
7.8.11 Power Test SAEABHV_Voltage OP8(6),389,V,360,410,Passed,0.0002588
7.4.1 Power Test U Current OP4(7),423.204016506471,A,400,500,Passed,0.1811072
7.4.2 Power Test V Current OP4(7),424.242703120332,A,400,500,Passed,0.1751984
7.4.3 Power Test W Current OP4(7),427.530230250798,A,400,500,Passed,0.1754568
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(7),38,deg,20,99,Passed,0.0001879
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(7),79,deg,20,99,Passed,0.0001748
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(7),48,deg,20,99,Passed,0.0001889
7.4.7 Power Test AN_CTP_COOLING_F OP4(7),53,deg,20,99,Passed,0.000184
7.4.8 Power Test FSEVBLV_Voltage OP4(7),9,V,9,12,Passed,0.000208
7.4.9 Power Test FSEVBHV_Voltage OP4(7),395,V,360,410,Passed,0.0001992
7.4.10 Power Test FTEABHV_UbatHV OP4(7),394,V,360,410,Passed,0.0002112
7.4.11 Power Test SAEABHV_Voltage OP4(7),395,V,360,410,Passed,0.0002938
7.8.1 Power Test U Current OP8(7),422.154104641503,A,400,500,Passed,0.1810666
7.8.2 Power Test V Current OP8(7),426.618586483528,A,400,500,Passed,0.1788219
7.8.3 Power Test W Current OP8(7),428.048185063171,A,400,500,Passed,0.1737958
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(7),39,deg,20,99,Passed,0.0002323
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(7),79,deg,20,99,Passed,0.0003951
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(7),49,deg,20,99,Passed,0.0001709
7.8.7 Power Test AN_CTP_COOLING_F OP8(7),53,deg,20,99,Passed,0.0001727
7.8.8 Power Test FSEVBLV_Voltage OP8(7),15,V,14,17,Passed,0.0001879
7.8.9 Power Test FSEVBHV_Voltage OP8(7),392,V,360,410,Passed,0.0002207
7.8.10 Power Test FTEABHV_UbatHV OP8(7),389,V,360,410,Passed,0.0002624
7.8.11 Power Test SAEABHV_Voltage OP8(7),392,V,360,410,Passed,0.0002016
7.4.1 Power Test U Current OP4(8),421.325620355174,A,400,500,Passed,0.1800479
7.4.2 Power Test V Current OP4(8),425.546806819533,A,400,500,Passed,0.1760988
7.4.3 Power Test W Current OP4(8),427.540959422326,A,400,500,Passed,0.1797446
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(8),40,deg,20,99,Passed,0.0001935
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(8),79,deg,20,99,Passed,0.0002006
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(8),51,deg,20,99,Passed,0.0001695
7.4.7 Power Test AN_CTP_COOLING_F OP4(8),54,deg,20,99,Passed,0.0001857
7.4.8 Power Test FSEVBLV_Voltage OP4(8),9,V,9,12,Passed,0.0001879
7.4.9 Power Test FSEVBHV_Voltage OP4(8),390,V,360,410,Passed,0.0002182
7.4.10 Power Test FTEABHV_UbatHV OP4(8),385,V,360,410,Passed,0.0002479
7.4.11 Power Test SAEABHV_Voltage OP4(8),390,V,360,410,Passed,0.0002539
7.8.1 Power Test U Current OP8(8),425.126390424761,A,400,500,Passed,0.1799755
7.8.2 Power Test V Current OP8(8),426.03704241749,A,400,500,Passed,0.1761069
7.8.3 Power Test W Current OP8(8),428.84270071205,A,400,500,Passed,0.1755536
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(8),41,deg,20,99,Passed,0.0002112
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(8),79,deg,20,99,Passed,0.0001776
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(8),53,deg,20,99,Passed,0.0004375
7.8.7 Power Test AN_CTP_COOLING_F OP8(8),54,deg,20,99,Passed,0.0001875
7.8.8 Power Test FSEVBLV_Voltage OP8(8),15,V,14,17,Passed,0.0002433
7.8.9 Power Test FSEVBHV_Voltage OP8(8),389,V,360,410,Passed,0.0002479
7.8.10 Power Test FTEABHV_UbatHV OP8(8),388,V,360,410,Passed,0.0002691
7.8.11 Power Test SAEABHV_Voltage OP8(8),389,V,360,410,Passed,0.0002338
7.4.1 Power Test U Current OP4(9),425.175632816044,A,400,500,Passed,0.1803222
7.4.2 Power Test V Current OP4(9),423.015161728292,A,400,500,Passed,0.173489
7.4.3 Power Test W Current OP4(9),428.333214260208,A,400,500,Passed,0.1745677
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(9),42,deg,20,99,Passed,0.0003259
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(9),79,deg,20,99,Passed,0.0002793
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(9),54,deg,20,99,Passed,0.0001889
7.4.7 Power Test AN_CTP_COOLING_F OP4(9),54,deg,20,99,Passed,0.0001713
7.4.8 Power Test FSEVBLV_Voltage OP4(9),9,V,9,12,Passed,0.00019
7.4.9 Power Test FSEVBHV_Voltage OP4(9),393,V,360,410,Passed,0.0002104
7.4.10 Power Test FTEABHV_UbatHV OP4(9),392,V,360,410,Passed,0.0003305
7.4.11 Power Test SAEABHV_Voltage OP4(9),393,V,360,410,Passed,0.0002246
7.8.1 Power Test U Current OP8(9),426.479309814583,A,400,500,Passed,0.1786718
7.8.2 Power Test V Current OP8(9),423.622160579474,A,400,500,Passed,0.1781249
7.8.3 Power Test W Current OP8(9),427.913063661392,A,400,500,Passed,0.1761115
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(9),43,deg,20,99,Passed,0.0002179
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(9),79,deg,20,99,Passed,0.0003008
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(9),56,deg,20,99,Passed,0.0001893
7.8.7 Power Test AN_CTP_COOLING_F OP8(9),54,deg,20,99,Passed,0.000244
7.8.8 Power Test FSEVBLV_Voltage OP8(9),15,V,14,17,Passed,0.000196
7.8.9 Power Test FSEVBHV_Voltage OP8(9),390,V,360,410,Passed,0.0002451
7.8.10 Power Test FTEABHV_UbatHV OP8(9),389,V,360,410,Passed,0.0002616
7.8.11 Power Test SAEABHV_Voltage OP8(9),390,V,360,410,Passed,0.0002715
7.4.1 Power Test U Current OP4(10),426.244539172862,A,400,500,Passed,0.1818381
7.4.2 Power Test V Current OP4(10),425.63430635372,A,400,500,Passed,0.1775303
7.4.3 Power Test W Current OP4(10),427.285562088116,A,400,500,Passed,0.1756087
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(10),44,deg,20,99,Passed,0.0001776
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(10),79,deg,20,99,Passed,0.0001939
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(10),57,deg,20,99,Passed,0.0001755
7.4.7 Power Test AN_CTP_COOLING_F OP4(10),55,deg,20,99,Passed,0.0001833
7.4.8 Power Test FSEVBLV_Voltage OP4(10),9,V,9,12,Passed,0.0001921
7.4.9 Power Test FSEVBHV_Voltage OP4(10),395,V,360,410,Passed,0.0002133
7.4.10 Power Test FTEABHV_UbatHV OP4(10),391,V,360,410,Passed,0.0002472
7.4.11 Power Test SAEABHV_Voltage OP4(10),395,V,360,410,Passed,0.000244
7.8.1 Power Test U Current OP8(10),428.459233424896,A,400,500,Passed,0.2142396
7.8.2 Power Test V Current OP8(10),425.854268481567,A,400,500,Passed,0.1764353
7.8.3 Power Test W Current OP8(10),427.289462889001,A,400,500,Passed,0.1765762
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(10),46,deg,20,99,Passed,0.0001755
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(10),79,deg,20,99,Passed,0.0005286
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(10),58,deg,20,99,Passed,0.0001787
7.8.7 Power Test AN_CTP_COOLING_F OP8(10),55,deg,20,99,Passed,0.0002055
7.8.8 Power Test FSEVBLV_Voltage OP8(10),15,V,14,17,Passed,0.0002299
7.8.9 Power Test FSEVBHV_Voltage OP8(10),387,V,360,410,Passed,0.0001921
7.8.10 Power Test FTEABHV_UbatHV OP8(10),385,V,360,410,Passed,0.0002712
7.8.11 Power Test SAEABHV_Voltage OP8(10),387,V,360,410,Passed,0.0007669
7.4.1 Power Test U Current OP4(11),428.09089484498,A,400,500,Passed,0.2073767
7.4.2 Power Test V Current OP4(11),424.934423695299,A,400,500,Passed,0.1768269
7.4.3 Power Test W Current OP4(11),426.528299839066,A,400,500,Passed,0.1772089
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(11),47,deg,20,99,Passed,0.0001886
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(11),79,deg,20,99,Passed,0.0001794
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(11),60,deg,20,99,Passed,0.0002041
7.4.7 Power Test AN_CTP_COOLING_F OP4(11),55,deg,20,99,Passed,0.0002415
7.4.8 Power Test FSEVBLV_Voltage OP4(11),9,V,9,12,Passed,0.0004446
7.4.9 Power Test FSEVBHV_Voltage OP4(11),387,V,360,410,Passed,0.0002373
7.4.10 Power Test FTEABHV_UbatHV OP4(11),385,V,360,410,Passed,0.0002592
7.4.11 Power Test SAEABHV_Voltage OP4(11),387,V,360,410,Passed,0.0002232
7.8.1 Power Test U Current OP8(11),427.661171380639,A,400,500,Passed,0.2216424
