Product Name,PSA
Stationt Name,BurnIn
Version,V1.0.0
Serial Number,1000090!V29102835
Total Test Time,1061
DUTResult,Terminated
Date Time,20210427160003
Stepname,MeasureValue,Unit,Lowlimit,Highlimit,Result,CycleTime
If,,,,,Done,4.77E-05
End,,,,,Done,2.05E-05
7.0.0 Error Code Check,FF,,FF,FF,Passed,8.3E-05
7.0.1 Enter Troque mode,True,,True,True,Passed,5.79E-05
7.4.1 Power Test U Current OP4(0),420.462328897292,A,400,500,Passed,0.1836761
7.4.2 Power Test V Current OP4(0),423.996097465426,A,400,500,Passed,0.1752606
7.4.3 Power Test W Current OP4(0),425.772375462134,A,400,500,Passed,0.1744368
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(0),29,deg,20,99,Passed,0.000172
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(0),72,deg,20,99,Passed,0.0002066
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(0),30,deg,20,99,Passed,0.0001939
7.4.7 Power Test AN_CTP_COOLING_F OP4(0),33,deg,20,99,Passed,0.0002207
7.4.8 Power Test FSEVBLV_Voltage OP4(0),9,V,9,12,Passed,0.0001963
7.4.9 Power Test FSEVBHV_Voltage OP4(0),390,V,360,410,Passed,0.0001963
7.4.10 Power Test FTEABHV_UbatHV OP4(0),389,V,360,410,Passed,0.0001822
7.4.11 Power Test SAEABHV_Voltage OP4(0),390,V,360,410,Passed,0.0002143
7.8.1 Power Test U Current OP8(0),419.38692682723,A,400,500,Passed,0.1762743
7.8.2 Power Test V Current OP8(0),424.282252011723,A,400,500,Passed,0.1720353
7.8.3 Power Test W Current OP8(0),426.421345376809,A,400,500,Passed,0.1801899
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(0),30,deg,20,99,Passed,0.0005067
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(0),74,deg,20,99,Passed,0.0004544
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(0),31,deg,20,99,Passed,0.0010254
7.8.7 Power Test AN_CTP_COOLING_F OP8(0),39,deg,20,99,Passed,0.0003962
7.8.8 Power Test FSEVBLV_Voltage OP8(0),15,V,14,17,Passed,0.0003824
7.8.9 Power Test FSEVBHV_Voltage OP8(0),390,V,360,410,Passed,0.0004121
7.8.10 Power Test FTEABHV_UbatHV OP8(0),389,V,360,410,Passed,0.0003605
7.8.11 Power Test SAEABHV_Voltage OP8(0),390,V,360,410,Passed,0.0003796
7.4.1 Power Test U Current OP4(1),420.12378863844,A,400,500,Passed,0.186789
7.4.2 Power Test V Current OP4(1),423.289431115392,A,400,500,Passed,0.1848099
7.4.3 Power Test W Current OP4(1),423.557533374851,A,400,500,Passed,0.1874017
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(1),30,deg,20,99,Passed,0.0004297
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(1),75,deg,20,99,Passed,0.0001737
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(1),32,deg,20,99,Passed,0.0001903
7.4.7 Power Test AN_CTP_COOLING_F OP4(1),42,deg,20,99,Passed,0.0001949
7.4.8 Power Test FSEVBLV_Voltage OP4(1),9,V,9,12,Passed,0.0001797
7.4.9 Power Test FSEVBHV_Voltage OP4(1),392,V,360,410,Passed,0.0002493
7.4.10 Power Test FTEABHV_UbatHV OP4(1),389,V,360,410,Passed,0.0001864
7.4.11 Power Test SAEABHV_Voltage OP4(1),392,V,360,410,Passed,0.000197
7.8.1 Power Test U Current OP8(1),421.838113125866,A,400,500,Passed,0.1803361
7.8.2 Power Test V Current OP8(1),424.034263730141,A,400,500,Passed,0.1815278
7.8.3 Power Test W Current OP8(1),425.045038157358,A,400,500,Passed,0.1789424
7.8.4 Power Test F_TEMP_MEAS_CTL  OP8(1),31,deg,20,99,Passed,0.0001981
7.8.5 Power Test F_TEMP_MEAS_MOD OP8(1),76,deg,20,99,Passed,0.000185
7.8.6 Power Test F_TEMP_MEAS_DRV OP8(1),34,deg,20,99,Passed,0.0001942
7.8.7 Power Test AN_CTP_COOLING_F OP8(1),44,deg,20,99,Passed,0.0002306
7.8.8 Power Test FSEVBLV_Voltage OP8(1),15,V,14,17,Passed,0.0001868
7.8.9 Power Test FSEVBHV_Voltage OP8(1),391,V,360,410,Passed,0.0007571
7.8.10 Power Test FTEABHV_UbatHV OP8(1),390,V,360,410,Passed,0.0002334
7.8.11 Power Test SAEABHV_Voltage OP8(1),391,V,360,410,Passed,0.0002034
7.4.1 Power Test U Current OP4(2),421.753553568798,A,400,500,Passed,0.1847393
7.4.2 Power Test V Current OP4(2),423.781321832001,A,400,500,Passed,0.1833975
7.4.3 Power Test W Current OP4(2),424.779630090978,A,400,500,Passed,0.1845804
7.4.4 Power Test F_TEMP_MEAS_CTL  OP4(2),32,deg,20,99,Passed,0.0001847
7.4.5 Power Test F_TEMP_MEAS_MOD OP4(2),76,deg,20,99,Passed,0.0001709
7.4.6 Power Test F_TEMP_MEAS_DRV OP4(2),36,deg,20,99,Passed,0.0001794
